,Total interchange1
20200106T00-06,831
20200105T23-06,834
20200105T22-06,1041
20200105T21-06,1075
20200105T20-06,1252
20200105T19-06,1304
20200105T18-06,1224
20200105T17-06,1145
20200105T16-06,1045
20200105T15-06,986
20200105T14-06,982
20200105T13-06,999
20200105T12-06,937
20200105T11-06,933
20200105T10-06,884
20200105T09-06,881
20200105T08-06,852
20200105T07-06,871
20200105T06-06,879
20200105T05-06,880
20200105T04-06,876
20200105T03-06,871
20200105T02-06,883
20200105T01-06,882
20200105T00-06,873
20200104T23-06,882
20200104T22-06,872
20200104T21-06,882
20200104T20-06,884
20200104T19-06,867
20200104T18-06,935
20200104T17-06,935
20200104T16-06,985
20200104T15-06,1001
20200104T14-06,1037
20200104T13-06,1129
20200104T12-06,1137
20200104T11-06,1145
20200104T10-06,1203
20200104T09-06,1307
20200104T08-06,1307
20200104T07-06,1201
20200104T06-06,884
20200104T05-06,881
20200104T04-06,896
20200104T03-06,879
20200104T02-06,885
20200104T01-06,880
20200104T00-06,840
20200103T23-06,839
20200103T22-06,895
20200103T21-06,1118
20200103T20-06,1409
20200103T19-06,1411
20200103T18-06,1317
20200103T17-06,970
20200103T16-06,874
20200103T15-06,864
20200103T14-06,873
20200103T13-06,877
20200103T12-06,1041
20200103T11-06,1197
20200103T10-06,1320
20200103T09-06,1328
20200103T08-06,1317
20200103T07-06,1067
20200103T06-06,872
20200103T05-06,838
20200103T04-06,836
20200103T03-06,836
20200103T02-06,842
20200103T01-06,850
20200103T00-06,803
20200102T23-06,799
20200102T22-06,816
20200102T21-06,1039
20200102T20-06,1222
20200102T19-06,1348
20200102T18-06,1354
20200102T17-06,1080
20200102T16-06,986
20200102T15-06,956
20200102T14-06,959
20200102T13-06,939
20200102T12-06,1028
20200102T11-06,1135
20200102T10-06,1268
20200102T09-06,1326
20200102T08-06,1319
20200102T07-06,1187
20200102T06-06,887
20200102T05-06,804
20200102T04-06,795
20200102T03-06,802
20200102T02-06,799
20200102T01-06,810
20200102T00-06,825
20200101T23-06,823
20200101T22-06,888
20200101T21-06,941
20200101T20-06,1110
20200101T19-06,1112
20200101T18-06,1104
20200101T17-06,1109
20200101T16-06,1087
20200101T15-06,1077
20200101T14-06,1089
20200101T13-06,1173
20200101T12-06,1192
20200101T11-06,1188
20200101T10-06,1079
20200101T09-06,1068
20200101T08-06,1019
20200101T07-06,1015
