,Total interchange
20191113T07Z,2899
20191113T06Z,3159
20191113T05Z,3251
20191113T04Z,3304
20191113T03Z,3302
20191113T02Z,3489
20191113T01Z,3564
20191113T00Z,3238
20191112T23Z,3122
20191112T22Z,3299
20191112T21Z,3258
20191112T20Z,3271
20191112T19Z,3324
20191112T18Z,3220
20191112T17Z,3207
20191112T16Z,3254
20191112T15Z,3521
20191112T14Z,3316
20191112T13Z,2943
20191112T12Z,2819
20191112T11Z,2824
20191112T10Z,2829
20191112T09Z,2813
20191112T08Z,3177
20191112T07Z,3305
20191112T06Z,3401
20191112T05Z,3724
20191112T04Z,3792
20191112T03Z,3854
20191112T02Z,3807
20191112T01Z,3629
20191112T00Z,3566
20191111T23Z,3636
20191111T22Z,3690
20191111T21Z,3486
20191111T20Z,3412
20191111T19Z,3528
20191111T18Z,3412
20191111T17Z,3381
20191111T16Z,3476
20191111T15Z,3574
20191111T14Z,3249
20191111T13Z,3130
20191111T12Z,2902
20191111T11Z,2941
20191111T10Z,3054
20191111T09Z,3184
20191111T08Z,3111
20191111T07Z,3146
20191111T06Z,3262
20191111T05Z,3096
20191111T04Z,3259
20191111T03Z,3303
20191111T02Z,3105
20191111T01Z,3123
20191111T00Z,2765
20191110T23Z,2672
20191110T22Z,2593
20191110T21Z,2515
20191110T20Z,2341
20191110T19Z,2470
20191110T18Z,2481
20191110T17Z,2436
20191110T16Z,2525
20191110T15Z,2540
20191110T14Z,2493
20191110T13Z,2599
20191110T12Z,2499
20191110T11Z,2410
20191110T10Z,2433
20191110T09Z,2380
20191110T08Z,2757
20191110T07Z,2852
20191110T06Z,3172
20191110T05Z,3190
20191110T04Z,3141
20191110T03Z,3151
20191110T02Z,3100
20191110T01Z,3041
20191110T00Z,2918
20191109T23Z,2852
20191109T22Z,3024
20191109T21Z,2969
20191109T20Z,3042
20191109T19Z,2909
20191109T18Z,2898
20191109T17Z,2668
20191109T16Z,2663
20191109T15Z,2680
20191109T14Z,2430
20191109T13Z,2370
20191109T12Z,2063
20191109T11Z,2006
20191109T10Z,2035
20191109T09Z,2143
20191109T08Z,2166
20191109T07Z,2577
20191109T06Z,2704
20191109T05Z,2705
20191109T04Z,2523
20191109T03Z,2568
20191109T02Z,2641
20191109T01Z,2750
20191109T00Z,2451
20191108T23Z,2674
20191108T22Z,2769
20191108T21Z,2554
20191108T20Z,2679
20191108T19Z,2547
20191108T18Z,2561
20191108T17Z,2698
20191108T16Z,2764
20191108T15Z,2747
20191108T14Z,2339
20191108T13Z,2031
20191108T12Z,2074
20191108T11Z,2050
20191108T10Z,2045
20191108T09Z,2092
20191108T08Z,2442
20191108T07Z,2478
20191108T06Z,2775
20191108T05Z,2774
20191108T04Z,2871
20191108T03Z,2732
20191108T02Z,2685
20191108T01Z,2717
20191108T00Z,2616
20191107T23Z,2719
20191107T22Z,2772
20191107T21Z,2600
20191107T20Z,2664
20191107T19Z,2577
20191107T18Z,2676
20191107T17Z,2663
20191107T16Z,2855
20191107T15Z,2865
20191107T14Z,2399
20191107T13Z,2212
20191107T12Z,2100
20191107T11Z,2092
20191107T10Z,2080
20191107T09Z,2042
20191107T08Z,2059
20191107T07Z,2101
20191107T06Z,2212
20191107T05Z,2560
20191107T04Z,2567
20191107T03Z,2559
20191107T02Z,2434
20191107T01Z,2544
20191107T00Z,2585
20191106T23Z,2735
20191106T22Z,2567
20191106T21Z,2476
20191106T20Z,2342
20191106T19Z,2337
20191106T18Z,2302
20191106T17Z,2309
20191106T16Z,2378
20191106T15Z,2522
20191106T14Z,2326
20191106T13Z,2004
20191106T12Z,2120
20191106T11Z,2039
20191106T10Z,2026
20191106T09Z,2051
20191106T08Z,2414
20191106T07Z,2534
20191106T06Z,2812
20191106T05Z,2816
20191106T04Z,2720
20191106T03Z,2873
20191106T02Z,3064
20191106T01Z,3002
20191106T00Z,2814
20191105T23Z,2860
20191105T22Z,2790
20191105T21Z,2792
20191105T20Z,2894
20191105T19Z,2843
20191105T18Z,2800
20191105T17Z,2900
20191105T16Z,3072
20191105T15Z,3065
20191105T14Z,2894
20191105T13Z,2844
20191105T12Z,2871
20191105T11Z,2777
20191105T10Z,2786
20191105T09Z,2817
20191105T08Z,2911
20191105T07Z,2874
20191105T06Z,2819
20191105T05Z,2740
20191105T04Z,2674
20191105T03Z,2770
20191105T02Z,2730
20191105T01Z,2728
20191105T00Z,2711
20191104T23Z,2819
20191104T22Z,2785
20191104T21Z,2784
20191104T20Z,2861
20191104T19Z,2800
20191104T18Z,2832
20191104T17Z,2966
20191104T16Z,3090
20191104T15Z,3098
20191104T14Z,3020
20191104T13Z,2625
20191104T12Z,2511
20191104T11Z,2429
20191104T10Z,2405
20191104T09Z,2418
20191104T08Z,2889
20191104T07Z,2943
20191104T06Z,3037
20191104T05Z,2839
20191104T04Z,2473
20191104T03Z,2688
20191104T02Z,2818
20191104T01Z,2839
20191104T00Z,2604
20191103T23Z,2696
20191103T22Z,2579
20191103T21Z,2532
20191103T20Z,2557
20191103T19Z,2491
20191103T18Z,2437
20191103T17Z,2410
20191103T16Z,2644
20191103T15Z,2565
20191103T14Z,2433
20191103T13Z,2455
20191103T12Z,2437
20191103T11Z,2441
20191103T10Z,2398
20191103T09Z,2475
20191103T08Z,2360
20191103T07Z,3026
20191103T06Z,2985
20191103T05Z,3052
20191103T04Z,3231
20191103T03Z,3264
20191103T02Z,3081
20191103T01Z,2880
20191103T00Z,3188
20191102T23Z,3252
20191102T22Z,2948
20191102T21Z,2798
20191102T20Z,2975
20191102T19Z,3182
20191102T18Z,3111
20191102T17Z,3411
20191102T16Z,3269
20191102T15Z,3196
20191102T14Z,3138
20191102T13Z,3008
20191102T12Z,2837
20191102T11Z,2818
20191102T10Z,2766
20191102T09Z,2744
20191102T08Z,2635
20191102T07Z,2893
20191102T06Z,2776
20191102T05Z,2899
20191102T04Z,3030
20191102T03Z,3087
20191102T02Z,3093
20191102T01Z,3128
20191102T00Z,3231
20191101T23Z,3121
20191101T22Z,3237
20191101T21Z,3344
20191101T20Z,3551
20191101T19Z,3543
20191101T18Z,3217
20191101T17Z,3518
20191101T16Z,3349
20191101T15Z,3072
20191101T14Z,3005
20191101T13Z,3023
20191101T12Z,2903
20191101T11Z,2501
20191101T10Z,2453
20191101T09Z,2517
20191101T08Z,2670
20191101T07Z,3454
20191101T06Z,3426
20191101T05Z,3759
20191101T04Z,3782
20191101T03Z,3810
20191101T02Z,3627
20191101T01Z,3615
20191101T00Z,3403
20191031T23Z,3415
20191031T22Z,3401
20191031T21Z,3407
20191031T20Z,3466
20191031T19Z,3407
20191031T18Z,3601
20191031T17Z,3764
20191031T16Z,3860
20191031T15Z,3646
20191031T14Z,3714
20191031T13Z,3834
20191031T12Z,3743
20191031T11Z,3694
20191031T10Z,3565
20191031T09Z,3509
20191031T08Z,3500
20191031T07Z,3679
20191031T06Z,3695
20191031T05Z,3536
20191031T04Z,3479
20191031T03Z,3690
20191031T02Z,3678
20191031T01Z,3473
20191031T00Z,3486
20191030T23Z,3327
20191030T22Z,3418
20191030T21Z,3311
20191030T20Z,3553
20191030T19Z,3715
20191030T18Z,3807
20191030T17Z,4081
20191030T16Z,4185
20191030T15Z,3919
20191030T14Z,3701
20191030T13Z,3618
20191030T12Z,3480
20191030T11Z,3384
20191030T10Z,3310
20191030T09Z,3339
20191030T08Z,3216
20191030T07Z,3068
20191030T06Z,3125
20191030T05Z,3268
20191030T04Z,3234
20191030T03Z,3152
20191030T02Z,3143
20191030T01Z,3046
20191030T00Z,2840
20191029T23Z,3174
20191029T22Z,3202
20191029T21Z,3188
20191029T20Z,3399
20191029T19Z,3417
20191029T18Z,3504
20191029T17Z,3458
20191029T16Z,3654
20191029T15Z,3674
20191029T14Z,3576
20191029T13Z,3755
20191029T12Z,3644
20191029T11Z,3445
20191029T10Z,3431
20191029T09Z,3413
20191029T08Z,3461
20191029T07Z,3726
20191029T06Z,3914
20191029T05Z,4083
20191029T04Z,4230
20191029T03Z,4260
20191029T02Z,4183
20191029T01Z,3862
20191029T00Z,3618
20191028T23Z,3714
20191028T22Z,3560
20191028T21Z,3516
20191028T20Z,3679
20191028T19Z,3709
20191028T18Z,3611
20191028T17Z,3704
20191028T16Z,4102
20191028T15Z,4157
20191028T14Z,3918
20191028T13Z,3599
20191028T12Z,3669
20191028T11Z,3577
20191028T10Z,3575
20191028T09Z,3610
20191028T08Z,3530
20191028T07Z,3436
20191028T06Z,3432
20191028T05Z,3706
20191028T04Z,3647
20191028T03Z,3721
20191028T02Z,3803
20191028T01Z,3645
20191028T00Z,3303
20191027T23Z,3153
20191027T22Z,3255
20191027T21Z,3238
20191027T20Z,3305
20191027T19Z,3115
20191027T18Z,3052
20191027T17Z,3056
20191027T16Z,3158
20191027T15Z,3070
20191027T14Z,3073
20191027T13Z,3073
20191027T12Z,3104
20191027T11Z,3098
20191027T10Z,3101
20191027T09Z,3097
20191027T08Z,3270
20191027T07Z,3536
20191027T06Z,3583
20191027T05Z,3809
20191027T04Z,3840
20191027T03Z,4003
20191027T02Z,3911
20191027T01Z,3656
20191027T00Z,3522
20191026T23Z,3558
20191026T22Z,3502
20191026T21Z,3559
20191026T20Z,3607
20191026T19Z,3556
20191026T18Z,3696
20191026T17Z,3879
20191026T16Z,4067
20191026T15Z,4120
20191026T14Z,3828
20191026T13Z,3390
20191026T12Z,3213
20191026T11Z,3245
20191026T10Z,3299
20191026T09Z,3283
20191026T08Z,3379
20191026T07Z,3685
20191026T06Z,3910
20191026T05Z,4463
20191026T04Z,4610
20191026T03Z,4586
20191026T02Z,4677
20191026T01Z,4422
20191026T00Z,4309
20191025T23Z,4307
20191025T22Z,3958
20191025T21Z,3817
20191025T20Z,3944
20191025T19Z,3760
20191025T18Z,3825
20191025T17Z,4029
20191025T16Z,4126
20191025T15Z,4413
20191025T14Z,4290
20191025T13Z,3914
20191025T12Z,3952
20191025T11Z,3871
20191025T10Z,3922
20191025T09Z,4162
20191025T08Z,3957
20191025T07Z,4265
20191025T06Z,4391
20191025T05Z,4320
20191025T04Z,4242
20191025T03Z,4304
20191025T02Z,4250
20191025T01Z,3645
20191025T00Z,3540
20191024T23Z,3345
20191024T22Z,3503
20191024T21Z,3394
20191024T20Z,3557
20191024T19Z,3498
20191024T18Z,3581
20191024T17Z,3679
20191024T16Z,3746
20191024T15Z,3933
20191024T14Z,4015
20191024T13Z,4122
20191024T12Z,4036
20191024T11Z,4013
20191024T10Z,3831
20191024T09Z,3746
20191024T08Z,3853
20191024T07Z,4067
20191024T06Z,4044
20191024T05Z,4105
20191024T04Z,3957
20191024T03Z,3968
20191024T02Z,3913
20191024T01Z,3859
20191024T00Z,3790
20191023T23Z,3801
20191023T22Z,3549
20191023T21Z,3439
20191023T20Z,3463
20191023T19Z,3455
20191023T18Z,3452
20191023T17Z,3680
20191023T16Z,3972
20191023T15Z,4183
20191023T14Z,4048
20191023T13Z,3883
20191023T12Z,3886
20191023T11Z,3916
20191023T10Z,3807
20191023T09Z,3862
20191023T08Z,3892
20191023T07Z,3948
20191023T06Z,3830
20191023T05Z,4209
20191023T04Z,4062
20191023T03Z,3857
20191023T02Z,3718
20191023T01Z,3627
20191023T00Z,3591
20191022T23Z,3533
20191022T22Z,3338
20191022T21Z,3217
20191022T20Z,3551
20191022T19Z,3549
20191022T18Z,3631
20191022T17Z,3688
20191022T16Z,4013
20191022T15Z,4101
20191022T14Z,3939
20191022T13Z,3768
20191022T12Z,3716
20191022T11Z,3663
20191022T10Z,3571
20191022T09Z,3499
20191022T08Z,3538
20191022T07Z,3842
20191022T06Z,3962
20191022T05Z,4030
20191022T04Z,4005
20191022T03Z,4025
20191022T02Z,3930
20191022T01Z,3863
20191022T00Z,3838
20191021T23Z,3991
20191021T22Z,4071
20191021T21Z,3951
20191021T20Z,3986
20191021T19Z,3871
20191021T18Z,3809
20191021T17Z,3612
20191021T16Z,3958
20191021T15Z,4027
20191021T14Z,3908
20191021T13Z,3633
20191021T12Z,3647
20191021T11Z,3669
20191021T10Z,3889
20191021T09Z,3891
20191021T08Z,3840
20191021T07Z,4161
20191021T06Z,4091
20191021T05Z,4168
20191021T04Z,3901
20191021T03Z,3766
20191021T02Z,3584
20191021T01Z,3436
20191021T00Z,3535
20191020T23Z,3426
20191020T22Z,3258
20191020T21Z,3099
20191020T20Z,3033
20191020T19Z,2984
20191020T18Z,2875
20191020T17Z,2823
20191020T16Z,3213
20191020T15Z,3352
20191020T14Z,3452
20191020T13Z,3247
20191020T12Z,3205
20191020T11Z,3168
20191020T10Z,3099
20191020T09Z,3048
20191020T08Z,3025
20191020T07Z,3088
20191020T06Z,3089
20191020T05Z,3174
20191020T04Z,3136
20191020T03Z,3197
20191020T02Z,3183
20191020T01Z,3270
20191020T00Z,3361
20191019T23Z,3414
20191019T22Z,3309
20191019T21Z,3288
20191019T20Z,3346
20191019T19Z,3428
20191019T18Z,3622
20191019T17Z,3609
20191019T16Z,3536
20191019T15Z,3673
20191019T14Z,3573
20191019T13Z,3370
20191019T12Z,3168
20191019T11Z,2859
20191019T10Z,2846
20191019T09Z,2781
20191019T08Z,2961
20191019T07Z,3213
20191019T06Z,3256
20191019T05Z,3481
20191019T04Z,3451
20191019T03Z,3340
20191019T02Z,3214
20191019T01Z,3050
20191019T00Z,3021
20191018T23Z,3051
20191018T22Z,3065
20191018T21Z,2998
20191018T20Z,3070
20191018T19Z,3031
20191018T18Z,3016
20191018T17Z,3031
20191018T16Z,3389
20191018T15Z,3552
20191018T14Z,3371
20191018T13Z,3027
20191018T12Z,2638
20191018T11Z,2376
20191018T10Z,2434
20191018T09Z,2466
20191018T08Z,2638
20191018T07Z,3028
20191018T06Z,3223
20191018T05Z,3217
20191018T04Z,3364
20191018T03Z,3429
20191018T02Z,3473
20191018T01Z,3365
20191018T00Z,3373
20191017T23Z,3569
20191017T22Z,3383
20191017T21Z,3544
20191017T20Z,3929
20191017T19Z,4130
20191017T18Z,4231
20191017T17Z,4218
20191017T16Z,4231
20191017T15Z,4397
20191017T14Z,4366
20191017T13Z,4130
20191017T12Z,4085
20191017T11Z,4108
20191017T10Z,4081
20191017T09Z,3934
20191017T08Z,3896
20191017T07Z,3771
20191017T06Z,3776
20191017T05Z,3920
20191017T04Z,4025
20191017T03Z,4376
20191017T02Z,4300
20191017T01Z,4222
20191017T00Z,3992
20191016T23Z,3860
20191016T22Z,3664
20191016T21Z,3731
20191016T20Z,3629
20191016T19Z,3491
20191016T18Z,3663
20191016T17Z,4022
20191016T16Z,4396
20191016T15Z,4246
20191016T14Z,4027
20191016T13Z,3824
20191016T12Z,3735
20191016T11Z,3635
20191016T10Z,3621
20191016T09Z,3680
20191016T08Z,3847
20191016T07Z,4036
20191016T06Z,4286
20191016T05Z,4236
20191016T04Z,4119
20191016T03Z,4054
20191016T02Z,3928
20191016T01Z,3948
20191016T00Z,3926
20191015T23Z,3982
20191015T22Z,4031
20191015T21Z,4137
20191015T20Z,4126
20191015T19Z,4103
20191015T18Z,4104
20191015T17Z,4103
20191015T16Z,4022
20191015T15Z,4112
20191015T14Z,3950
20191015T13Z,3747
20191015T12Z,3758
20191015T11Z,3766
20191015T10Z,3731
20191015T09Z,3692
20191015T08Z,3766
20191015T07Z,4125
20191015T06Z,4173
20191015T05Z,4206
20191015T04Z,4173
20191015T03Z,4163
20191015T02Z,4122
20191015T01Z,4093
20191015T00Z,4229
20191014T23Z,4290
20191014T22Z,4330
20191014T21Z,4265
20191014T20Z,4267
20191014T19Z,4245
20191014T18Z,4227
20191014T17Z,4429
20191014T16Z,4495
20191014T15Z,4376
20191014T14Z,4034
20191014T13Z,3888
20191014T12Z,3914
20191014T11Z,3706
20191014T10Z,3714
20191014T09Z,3706
20191014T08Z,3761
20191014T07Z,4102
20191014T06Z,3968
20191014T05Z,4121
20191014T04Z,4208
20191014T03Z,4393
20191014T02Z,4477
20191014T01Z,4395
20191014T00Z,4517
20191013T23Z,4661
20191013T22Z,4426
20191013T21Z,4235
20191013T20Z,4120
20191013T19Z,3847
20191013T18Z,3615
20191013T17Z,4036
20191013T16Z,4356
20191013T15Z,4256
20191013T14Z,4073
20191013T13Z,4182
20191013T12Z,4206
20191013T11Z,4278
20191013T10Z,4285
20191013T09Z,4206
20191013T08Z,4197
20191013T07Z,4532
20191013T06Z,4570
20191013T05Z,4400
20191013T04Z,4353
20191013T03Z,4319
20191013T02Z,4336
20191013T01Z,4162
20191013T00Z,4212
20191012T23Z,4318
20191012T22Z,4242
20191012T21Z,4046
20191012T20Z,3777
20191012T19Z,3649
20191012T18Z,3510
20191012T17Z,3554
20191012T16Z,3969
20191012T15Z,3887
20191012T14Z,3921
20191012T13Z,4113
20191012T12Z,4035
20191012T11Z,4044
20191012T10Z,3997
20191012T09Z,4081
