,Total interchange1
20191218T00-07,7791
20191217T23-07,7800
20191217T22-07,7759
20191217T21-07,7844
20191217T20-07,7930
20191217T19-07,8051
20191217T18-07,7952
20191217T17-07,7953
20191217T16-07,7965
20191217T15-07,8148
20191217T14-07,8134
20191217T13-07,8165
20191217T12-07,7891
20191217T11-07,7941
20191217T10-07,7881
20191217T09-07,8087
20191217T08-07,7140
20191217T07-07,6963
20191217T06-07,6885
20191217T05-07,7121
20191217T04-07,7155
20191217T03-07,7336
20191217T02-07,8267
20191217T01-07,8521
20191217T00-07,8558
20191216T23-07,8415
20191216T22-07,8346
20191216T21-07,8515
20191216T20-07,8725
20191216T19-07,8702
20191216T18-07,8631
20191216T17-07,8115
20191216T16-07,7790
20191216T15-07,7900
20191216T14-07,7910
20191216T13-07,7898
20191216T12-07,7901
20191216T11-07,7606
20191216T10-07,7852
20191216T09-07,8671
20191216T08-07,7813
20191216T07-07,7706
20191216T06-07,7878
20191216T05-07,7657
20191216T04-07,7985
20191216T03-07,7895
20191216T02-07,7853
20191216T01-07,8924
20191216T00-07,9065
20191215T23-07,8791
20191215T22-07,8935
20191215T21-07,9351
20191215T20-07,9595
20191215T19-07,9806
20191215T18-07,9085
20191215T17-07,8400
20191215T16-07,8016
20191215T15-07,8144
20191215T14-07,8296
20191215T13-07,8257
20191215T12-07,8278
20191215T11-07,8390
20191215T10-07,8359
20191215T09-07,9133
20191215T08-07,8951
20191215T07-07,8853
20191215T06-07,8983
20191215T05-07,8831
20191215T04-07,8844
20191215T03-07,8814
20191215T02-07,8739
20191215T01-07,9311
20191215T00-07,9396
20191214T23-07,9628
20191214T22-07,9571
20191214T21-07,9493
20191214T20-07,9203
20191214T19-07,9044
20191214T18-07,9115
20191214T17-07,8765
20191214T16-07,8131
20191214T15-07,8268
20191214T14-07,8386
20191214T13-07,8223
20191214T12-07,8342
20191214T11-07,8257
20191214T10-07,8470
20191214T09-07,8935
20191214T08-07,8028
20191214T07-07,8124
20191214T06-07,7969
20191214T05-07,8089
20191214T04-07,8539
20191214T03-07,8744
20191214T02-07,8874
20191214T01-07,8749
20191214T00-07,9569
20191213T23-07,9612
20191213T22-07,9408
20191213T21-07,9426
20191213T20-07,9603
20191213T19-07,9602
20191213T18-07,9238
20191213T17-07,8639
20191213T16-07,8471
20191213T15-07,8742
20191213T14-07,8646
20191213T13-07,8686
20191213T12-07,8568
20191213T11-07,8519
20191213T10-07,8525
20191213T09-07,8328
20191213T08-07,7979
20191213T07-07,7860
20191213T06-07,7744
20191213T05-07,7907
20191213T04-07,8021
20191213T03-07,8062
20191213T02-07,8575
20191213T01-07,9039
20191213T00-07,9036
20191212T23-07,8758
20191212T22-07,8914
20191212T21-07,9299
20191212T20-07,9165
20191212T19-07,8697
20191212T18-07,7927
20191212T17-07,7745
20191212T16-07,7807
20191212T15-07,7614
20191212T14-07,7499
20191212T13-07,7470
20191212T12-07,7617
20191212T11-07,7627
20191212T10-07,7917
20191212T09-07,8416
20191212T08-07,8130
20191212T07-07,8106
20191212T06-07,7667
20191212T05-07,7602
20191212T04-07,7642
20191212T03-07,7814
20191212T02-07,7749
20191212T01-07,7975
20191212T00-07,7982
20191211T23-07,8338
20191211T22-07,8908
20191211T21-07,8843
20191211T20-07,8773
20191211T19-07,8902
20191211T18-07,8666
20191211T17-07,7797
20191211T16-07,7781
20191211T15-07,7690
20191211T14-07,7678
20191211T13-07,7651
20191211T12-07,7466
20191211T11-07,7345
20191211T10-07,7318
20191211T09-07,8251
20191211T08-07,8245
20191211T07-07,7988
20191211T06-07,7796
20191211T05-07,7391
20191211T04-07,7639
20191211T03-07,7887
20191211T02-07,7953
20191211T01-07,8104
20191211T00-07,8087
20191210T23-07,8126
20191210T22-07,8715
20191210T21-07,9041
20191210T20-07,8997
20191210T19-07,8664
20191210T18-07,8024
20191210T17-07,8006
20191210T16-07,8255
20191210T15-07,8364
20191210T14-07,8526
20191210T13-07,8498
20191210T12-07,8554
20191210T11-07,8280
20191210T10-07,7918
20191210T09-07,8067
20191210T08-07,8278
20191210T07-07,7571
20191210T06-07,8495
20191210T05-07,8726
20191210T04-07,8509
20191210T03-07,8356
20191210T02-07,8179
20191210T01-07,8417
20191210T00-07,8071
20191209T23-07,8227
20191209T22-07,8672
20191209T21-07,8711
20191209T20-07,8827
20191209T19-07,8865
20191209T18-07,8616
20191209T17-07,8181
20191209T16-07,7870
20191209T15-07,8144
20191209T14-07,8198
20191209T13-07,8143
20191209T12-07,8069
20191209T11-07,8086
20191209T10-07,8131
20191209T09-07,8280
20191209T08-07,8579
20191209T07-07,8748
20191209T06-07,8754
20191209T05-07,8663
20191209T04-07,8395
20191209T03-07,8666
20191209T02-07,8669
20191209T01-07,8403
20191209T00-07,8308
20191208T23-07,8254
20191208T22-07,8721
20191208T21-07,9103
20191208T20-07,8578
20191208T19-07,9190
20191208T18-07,8927
20191208T17-07,8592
20191208T16-07,8414
20191208T15-07,8138
20191208T14-07,8280
20191208T13-07,8141
20191208T12-07,8283
20191208T11-07,8187
20191208T10-07,8159
20191208T09-07,8355
20191208T08-07,8557
20191208T07-07,8703
20191208T06-07,8722
20191208T05-07,8801
20191208T04-07,8747
20191208T03-07,8605
20191208T02-07,8373
20191208T01-07,8233
20191208T00-07,8499
20191207T23-07,8212
20191207T22-07,8447
20191207T21-07,8338
20191207T20-07,8864
20191207T19-07,9274
20191207T18-07,8425
20191207T17-07,7918
20191207T16-07,7679
20191207T15-07,7664
