,Total interchange1
20191114T00-06,262
20191113T23-06,199
20191113T22-06,661
20191113T21-06,881
20191113T20-06,824
20191113T19-06,999
20191113T18-06,917
20191113T17-06,837
20191113T16-06,988
20191113T15-06,1062
20191113T14-06,1106
20191113T13-06,411
20191113T12-06,362
20191113T11-06,-107
20191113T10-06,-439
20191113T09-06,-729
20191113T08-06,-253
20191113T07-06,-717
20191113T06-06,-201
20191113T05-06,7
20191113T04-06,125
20191113T03-06,20
20191113T02-06,463
20191113T01-06,732
20191113T00-06,507
20191112T23-06,498
20191112T22-06,247
20191112T21-06,384
20191112T20-06,669
20191112T19-06,1164
20191112T18-06,904
20191112T17-06,693
20191112T16-06,411
20191112T15-06,552
20191112T14-06,532
20191112T13-06,393
20191112T12-06,406
20191112T11-06,409
20191112T10-06,139
20191112T09-06,-133
20191112T08-06,-505
20191112T07-06,17
20191112T06-06,-443
20191112T05-06,-38
20191112T04-06,-84
20191112T03-06,-330
20191112T02-06,37
20191112T01-06,46
20191112T00-06,107
20191111T23-06,460
20191111T22-06,87
20191111T21-06,61
20191111T20-06,-25
20191111T19-06,51
20191111T18-06,-344
20191111T17-06,37
20191111T16-06,109
20191111T15-06,18
20191111T14-06,-114
20191111T13-06,-323
20191111T12-06,-159
20191111T11-06,-110
20191111T10-06,441
20191111T09-06,316
20191111T08-06,406
20191111T07-06,900
20191111T06-06,1355
20191111T05-06,1603
20191111T04-06,1611
20191111T03-06,1743
20191111T02-06,1755
20191111T01-06,1484
20191111T00-06,1310
20191110T23-06,1453
20191110T22-06,1240
20191110T21-06,861
20191110T20-06,589
20191110T19-06,407
20191110T18-06,134
20191110T17-06,-68
20191110T16-06,116
20191110T15-06,-245
20191110T14-06,-338
20191110T13-06,-396
20191110T12-06,-518
20191110T11-06,-449
20191110T10-06,-341
20191110T09-06,-102
20191110T08-06,66
20191110T07-06,340
20191110T06-06,928
20191110T05-06,1143
20191110T04-06,1200
20191110T03-06,1297
20191110T02-06,2101
20191110T01-06,2050
20191110T00-06,2387
20191109T23-06,2156
20191109T22-06,1716
20191109T21-06,1778
20191109T20-06,1487
20191109T19-06,1135
20191109T18-06,719
20191109T17-06,497
20191109T16-06,-65
20191109T15-06,-206
20191109T14-06,-256
20191109T13-06,-202
20191109T12-06,-242
20191109T11-06,-728
20191109T10-06,-699
20191109T09-06,-632
20191109T08-06,-347
20191109T07-06,-5
20191109T06-06,255
20191109T05-06,563
20191109T04-06,697
20191109T03-06,897
20191109T02-06,1215
20191109T01-06,1313
20191109T00-06,738
20191108T23-06,731
20191108T22-06,460
20191108T21-06,646
20191108T20-06,971
20191108T19-06,689
20191108T18-06,329
20191108T17-06,211
20191108T16-06,148
20191108T15-06,53
20191108T14-06,-10
20191108T13-06,-5
20191108T12-06,-280
20191108T11-06,-641
20191108T10-06,-613
20191108T09-06,-720
20191108T08-06,-652
20191108T07-06,-562
20191108T06-06,-112
20191108T05-06,-24
20191108T04-06,-42
20191108T03-06,-52
20191108T02-06,-86
20191108T01-06,-267
20191108T00-06,-238
20191107T23-06,-143
20191107T22-06,-333
20191107T21-06,-994
20191107T20-06,-1329
20191107T19-06,-1000
20191107T18-06,-844
20191107T17-06,-454
20191107T16-06,61
20191107T15-06,93
20191107T14-06,144
20191107T13-06,-28
20191107T12-06,125
20191107T11-06,189
20191107T10-06,122
20191107T09-06,174
20191107T08-06,431
20191107T07-06,626
20191107T06-06,885
20191107T05-06,1164
20191107T04-06,1054
20191107T03-06,1482
20191107T02-06,1193
20191107T01-06,984
20191107T00-06,740
20191106T23-06,409
20191106T22-06,534
20191106T21-06,936
20191106T20-06,816
20191106T19-06,804
20191106T18-06,611
20191106T17-06,321
20191106T16-06,-234
20191106T15-06,-104
20191106T14-06,-381
20191106T13-06,-601
20191106T12-06,-685
20191106T11-06,-585
20191106T10-06,-455
20191106T09-06,-530
20191106T08-06,-553
20191106T07-06,-110
20191106T06-06,450
20191106T05-06,420
20191106T04-06,369
20191106T03-06,453
20191106T02-06,559
20191106T01-06,643
20191106T00-06,651
20191105T23-06,629
20191105T22-06,791
20191105T21-06,932
20191105T20-06,719
20191105T19-06,752
20191105T18-06,175
20191105T17-06,643
20191105T16-06,237
20191105T15-06,351
20191105T14-06,488
20191105T13-06,470
20191105T12-06,262
20191105T11-06,-279
20191105T10-06,-956
20191105T09-06,-1164
20191105T08-06,-913
20191105T07-06,-901
20191105T06-06,-321
20191105T05-06,-46
20191105T04-06,-11
20191105T03-06,190
20191105T02-06,498
20191105T01-06,430
20191105T00-06,332
20191104T23-06,252
20191104T22-06,493
20191104T21-06,428
20191104T20-06,706
20191104T19-06,1087
20191104T18-06,685
