,Total interchange1
20191218T00-06,-61
20191217T23-06,-44
20191217T22-06,-89
20191217T21-06,-68
20191217T20-06,-372
20191217T19-06,-582
20191217T18-06,-573
20191217T17-06,-516
20191217T16-06,25
20191217T15-06,59
20191217T14-06,81
20191217T13-06,27
20191217T12-06,25
20191217T11-06,-40
20191217T10-06,18
20191217T09-06,10
20191217T08-06,13
20191217T07-06,13
20191217T06-06,83
20191217T05-06,-56
20191217T04-06,-60
20191217T03-06,-94
20191217T02-06,-111
20191217T01-06,-27
20191217T00-06,-6
20191216T23-06,24
20191216T22-06,-42
20191216T21-06,59
20191216T20-06,64
20191216T19-06,63
20191216T18-06,71
20191216T17-06,56
20191216T16-06,80
20191216T15-06,62
20191216T14-06,59
20191216T13-06,107
20191216T12-06,56
20191216T11-06,103
20191216T10-06,123
20191216T09-06,64
20191216T08-06,81
20191216T07-06,60
20191216T06-06,100
20191216T05-06,0
20191216T04-06,-44
20191216T03-06,-34
20191216T02-06,31
20191216T01-06,77
20191216T00-06,58
20191215T23-06,79
20191215T22-06,33
20191215T21-06,65
20191215T20-06,91
20191215T19-06,144
20191215T18-06,24
20191215T17-06,82
20191215T16-06,149
20191215T15-06,132
20191215T14-06,117
20191215T13-06,68
20191215T12-06,79
20191215T11-06,153
20191215T10-06,57
20191215T09-06,33
20191215T08-06,71
20191215T07-06,145
20191215T06-06,145
20191215T05-06,89
20191215T04-06,105
20191215T03-06,20
20191215T02-06,54
20191215T01-06,67
20191215T00-06,31
20191214T23-06,124
20191214T22-06,65
20191214T21-06,77
20191214T20-06,57
20191214T19-06,75
20191214T18-06,33
20191214T17-06,99
20191214T16-06,196
20191214T15-06,190
20191214T14-06,173
20191214T13-06,157
20191214T12-06,92
20191214T11-06,154
20191214T10-06,146
20191214T09-06,156
20191214T08-06,112
20191214T07-06,120
20191214T06-06,139
20191214T05-06,93
20191214T04-06,69
20191214T03-06,38
20191214T02-06,39
20191214T01-06,25
20191214T00-06,-177
20191213T23-06,-153
20191213T22-06,-214
20191213T21-06,-187
20191213T20-06,-229
20191213T19-06,-571
20191213T18-06,-573
20191213T17-06,-739
20191213T16-06,-422
20191213T15-06,-329
20191213T14-06,-327
20191213T13-06,-334
20191213T12-06,-176
20191213T11-06,-215
20191213T10-06,-232
20191213T09-06,-645
20191213T08-06,-613
20191213T07-06,-512
20191213T06-06,-527
20191213T05-06,171
20191213T04-06,245
20191213T03-06,277
20191213T02-06,286
20191213T01-06,254
20191213T00-06,222
20191212T23-06,-165
20191212T22-06,-91
