,Total interchange1
20191114T00-07,-258
20191113T23-07,-296
20191113T22-07,-322
20191113T21-07,-392
20191113T20-07,-444
20191113T19-07,-474
20191113T18-07,-507
20191113T17-07,-437
20191113T16-07,-282
20191113T15-07,-221
20191113T14-07,-214
20191113T13-07,-212
20191113T12-07,-173
20191113T11-07,-155
20191113T10-07,-124
20191113T09-07,-170
20191113T08-07,-242
20191113T07-07,-370
20191113T06-07,-318
20191113T05-07,-243
20191113T04-07,-202
20191113T03-07,-184
20191113T02-07,-189
20191113T01-07,-215
20191113T00-07,-259
20191112T23-07,-347
20191112T22-07,-385
20191112T21-07,-444
20191112T20-07,-476
20191112T19-07,-510
20191112T18-07,-601
20191112T17-07,-503
20191112T16-07,-386
20191112T15-07,-277
20191112T14-07,-224
20191112T13-07,-183
20191112T12-07,-147
20191112T11-07,-199
20191112T10-07,-209
20191112T09-07,-244
20191112T08-07,-300
20191112T07-07,-378
20191112T06-07,-295
20191112T05-07,-245
20191112T04-07,-205
20191112T03-07,-183
20191112T02-07,-202
20191112T01-07,-238
20191112T00-07,-277
20191111T23-07,-389
20191111T22-07,-485
20191111T21-07,-497
20191111T20-07,-558
20191111T19-07,-579
20191111T18-07,-673
20191111T17-07,-554
20191111T16-07,-510
20191111T15-07,-355
20191111T14-07,-275
20191111T13-07,-336
20191111T12-07,-330
20191111T11-07,-278
20191111T10-07,-216
20191111T09-07,-176
20191111T08-07,-311
20191111T07-07,-258
20191111T06-07,-340
20191111T05-07,-312
20191111T04-07,-294
20191111T03-07,-289
20191111T02-07,-331
20191111T01-07,-331
20191111T00-07,-402
20191110T23-07,-452
20191110T22-07,-525
20191110T21-07,-608
20191110T20-07,-656
20191110T19-07,-728
20191110T18-07,-799
20191110T17-07,-679
20191110T16-07,-483
20191110T15-07,-394
20191110T14-07,-318
20191110T13-07,-233
20191110T12-07,-293
20191110T11-07,-214
20191110T10-07,-311
20191110T09-07,-290
20191110T08-07,-190
20191110T07-07,-235
20191110T06-07,-266
20191110T05-07,-240
20191110T04-07,-178
20191110T03-07,-122
20191110T02-07,-145
20191110T01-07,-171
20191110T00-07,-202
20191109T23-07,-248
20191109T22-07,-304
20191109T21-07,-457
20191109T20-07,-494
20191109T19-07,-483
20191109T18-07,-521
20191109T17-07,-610
20191109T16-07,-462
20191109T15-07,-441
20191109T14-07,-437
20191109T13-07,-384
20191109T12-07,-358
20191109T11-07,-337
20191109T10-07,-309
20191109T09-07,-140
20191109T08-07,-242
20191109T07-07,-310
20191109T06-07,-274
20191109T05-07,-325
20191109T04-07,-310
20191109T03-07,-305
20191109T02-07,-343
20191109T01-07,-354
20191109T00-07,-285
20191108T23-07,-350
20191108T22-07,-418
20191108T21-07,-561
20191108T20-07,-597
20191108T19-07,-580
20191108T18-07,-574
20191108T17-07,-531
20191108T16-07,-410
20191108T15-07,-379
20191108T14-07,-339
20191108T13-07,-342
20191108T12-07,-299
20191108T11-07,-311
20191108T10-07,-400
20191108T09-07,-255
20191108T08-07,-300
20191108T07-07,-380
20191108T06-07,-304
20191108T05-07,-230
20191108T04-07,-173
20191108T03-07,-169
20191108T02-07,-178
20191108T01-07,-174
20191108T00-07,-191
20191107T23-07,-268
20191107T22-07,-358
20191107T21-07,-439
20191107T20-07,-482
20191107T19-07,-521
20191107T18-07,-569
20191107T17-07,-566
20191107T16-07,-489
20191107T15-07,-273
20191107T14-07,-208
20191107T13-07,-189
20191107T12-07,-156
20191107T11-07,-196
20191107T10-07,-169
20191107T09-07,-252
20191107T08-07,-260
20191107T07-07,-389
20191107T06-07,-312
20191107T05-07,-226
20191107T04-07,-195
20191107T03-07,-217
20191107T02-07,-271
20191107T01-07,-321
20191107T00-07,-426
20191106T23-07,-545
20191106T22-07,-655
20191106T21-07,-709
20191106T20-07,-768
20191106T19-07,-811
20191106T18-07,-866
20191106T17-07,-806
20191106T16-07,-604
20191106T15-07,-465
20191106T14-07,-389
20191106T13-07,-342
20191106T12-07,-231
20191106T11-07,-322
20191106T10-07,-271
20191106T09-07,-246
20191106T08-07,-364
20191106T07-07,-437
20191106T06-07,-366
20191106T05-07,-356
20191106T04-07,-319
20191106T03-07,-333
20191106T02-07,-353
20191106T01-07,-300
20191106T00-07,-200
20191105T23-07,-259
20191105T22-07,-344
20191105T21-07,-509
20191105T20-07,-580
20191105T19-07,-620
20191105T18-07,-646
20191105T17-07,-526
20191105T16-07,-399
20191105T15-07,-364
20191105T14-07,-275
20191105T13-07,-163
20191105T12-07,-116
20191105T11-07,-111
20191105T10-07,-74
20191105T09-07,-202
20191105T08-07,-198
20191105T07-07,-361
20191105T06-07,-331
20191105T05-07,-224
20191105T04-07,-76
20191105T03-07,-55
20191105T02-07,-90
20191105T01-07,-117
20191105T00-07,-217
20191104T23-07,-437
20191104T22-07,-573
20191104T21-07,-588
20191104T20-07,-582
20191104T19-07,-587
20191104T18-07,-595
20191104T17-07,-553
20191104T16-07,-395
20191104T15-07,-341
20191104T14-07,-336
20191104T13-07,-320
20191104T12-07,-280
20191104T11-07,-245
20191104T10-07,-165
20191104T09-07,-155
20191104T08-07,-214
20191104T07-07,-264
20191104T06-07,-247
20191104T05-07,-273
20191104T04-07,-338
20191104T03-07,-333
20191104T02-07,-341
20191104T01-07,-312
20191104T00-07,-337
20191103T23-07,-513
20191103T22-07,-558
20191103T21-07,-623
20191103T20-07,-634
20191103T19-07,-640
20191103T18-07,-685
20191103T17-07,-593
20191103T16-07,-524
20191103T15-07,-413
20191103T14-07,-399
20191103T13-07,-455
20191103T12-07,-392
20191103T11-07,-339
20191103T10-07,-243
20191103T09-07,-170
20191103T08-07,-198
20191103T07-07,-295
20191103T06-07,-315
20191103T05-07,-303
20191103T04-07,-352
20191103T03-07,-390
20191103T02-07,-380
20191103T01-07,-380
20191103T00-07,-352
20191102T23-07,-399
20191102T22-07,-544
20191102T21-07,-676
20191102T20-07,-682
20191102T19-07,-674
20191102T18-07,-726
20191102T17-07,-686
20191102T16-07,-430
20191102T15-07,-262
20191102T14-07,-283
20191102T13-07,-233
20191102T12-07,-190
20191102T11-07,-155
20191102T10-07,-192
20191102T09-07,9
20191102T08-07,-11
20191102T07-07,-111
20191102T06-07,-85
20191102T05-07,-103
20191102T04-07,-103
20191102T03-07,-95
20191102T02-07,-115
20191102T01-07,-78
20191102T00-07,-23
20191101T23-07,-91
20191101T22-07,-141
20191101T21-07,-190
20191101T20-07,-160
20191101T19-07,-94
20191101T18-07,-196
20191101T17-07,-195
20191101T16-07,-65
20191101T15-07,11
20191101T14-07,-2
20191101T13-07,24
20191101T12-07,45
20191101T11-07,59
20191101T10-07,49
20191101T09-07,122
20191101T08-07,125
20191101T07-07,-63
20191101T06-07,-86
20191101T05-07,24
20191101T04-07,10
20191101T03-07,25
20191101T02-07,32
20191101T01-07,5
20191101T00-07,-7
20191031T23-07,24
20191031T22-07,-130
20191031T21-07,-141
20191031T20-07,-204
20191031T19-07,-226
20191031T18-07,-91
20191031T17-07,-206
20191031T16-07,-278
20191031T15-07,-191
20191031T14-07,-152
20191031T13-07,-132
20191031T12-07,-104
20191031T11-07,-110
20191031T10-07,-75
20191031T09-07,-36
20191031T08-07,-76
20191031T07-07,-161
20191031T06-07,-53
20191031T05-07,-17
20191031T04-07,32
20191031T03-07,48
20191031T02-07,48
20191031T01-07,5
20191031T00-07,-36
20191030T23-07,-282
20191030T22-07,-319
20191030T21-07,-236
20191030T20-07,-266
20191030T19-07,-204
20191030T18-07,-213
20191030T17-07,-339
20191030T16-07,-459
20191030T15-07,-327
20191030T14-07,-339
20191030T13-07,-251
20191030T12-07,-283
20191030T11-07,-191
20191030T10-07,-238
20191030T09-07,-353
20191030T08-07,-394
20191030T07-07,-448
20191030T06-07,-444
20191030T05-07,-432
20191030T04-07,-430
20191030T03-07,-405
20191030T02-07,-414
20191030T01-07,-427
20191030T00-07,-352
20191029T23-07,-284
20191029T22-07,-362
20191029T21-07,-322
20191029T20-07,-380
20191029T19-07,-383
20191029T18-07,-391
20191029T17-07,-449
20191029T16-07,-329
20191029T15-07,-385
20191029T14-07,-424
20191029T13-07,-401
20191029T12-07,-418
20191029T11-07,-431
20191029T10-07,-380
20191029T09-07,-470
20191029T08-07,-618
20191029T07-07,-659
20191029T06-07,-808
20191029T05-07,-714
20191029T04-07,-733
20191029T03-07,-715
20191029T02-07,-721
20191029T01-07,-741
20191029T00-07,-706
20191028T23-07,-760
20191028T22-07,-859
20191028T21-07,-903
20191028T20-07,-976
20191028T19-07,-907
20191028T18-07,-935
20191028T17-07,-842
20191028T16-07,-646
20191028T15-07,-572
20191028T14-07,-562
20191028T13-07,-529
20191028T12-07,-472
20191028T11-07,-474
20191028T10-07,-470
20191028T09-07,-466
20191028T08-07,-483
20191028T07-07,-445
20191028T06-07,-385
20191028T05-07,-347
20191028T04-07,-362
20191028T03-07,-339
20191028T02-07,-287
20191028T01-07,-289
20191028T00-07,-298
20191027T23-07,-383
20191027T22-07,-512
20191027T21-07,-567
20191027T20-07,-533
20191027T19-07,-497
20191027T18-07,-630
20191027T17-07,-582
20191027T16-07,-461
20191027T15-07,-411
20191027T14-07,-435
20191027T13-07,-368
20191027T12-07,-364
20191027T11-07,-328
20191027T10-07,-253
20191027T09-07,-249
20191027T08-07,-277
20191027T07-07,-349
20191027T06-07,-291
20191027T05-07,-310
20191027T04-07,-296
20191027T03-07,-261
20191027T02-07,-242
20191027T01-07,-265
20191027T00-07,-244
20191026T23-07,-295
20191026T22-07,-494
20191026T21-07,-535
20191026T20-07,-546
20191026T19-07,-513
20191026T18-07,-528
20191026T17-07,-550
20191026T16-07,-398
20191026T15-07,-324
20191026T14-07,-265
20191026T13-07,-272
20191026T12-07,-222
20191026T11-07,-198
20191026T10-07,-179
20191026T09-07,-185
20191026T08-07,-260
20191026T07-07,-282
20191026T06-07,-226
20191026T05-07,-189
20191026T04-07,-175
20191026T03-07,-178
20191026T02-07,-157
20191026T01-07,-180
20191026T00-07,-213
20191025T23-07,-248
20191025T22-07,-393
20191025T21-07,-461
20191025T20-07,-427
20191025T19-07,-359
20191025T18-07,-545
20191025T17-07,-502
20191025T16-07,-376
20191025T15-07,-290
20191025T14-07,-227
20191025T13-07,-187
20191025T12-07,-122
20191025T11-07,-155
20191025T10-07,-181
20191025T09-07,-24
20191025T08-07,-85
20191025T07-07,-214
20191025T06-07,-221
20191025T05-07,-155
20191025T04-07,-225
20191025T03-07,-216
20191025T02-07,-214
20191025T01-07,-236
20191025T00-07,-265
20191024T23-07,-247
20191024T22-07,-351
20191024T21-07,-458
20191024T20-07,-521
20191024T19-07,-583
20191024T18-07,-564
20191024T17-07,-508
20191024T16-07,-552
20191024T15-07,-467
20191024T14-07,-408
20191024T13-07,-363
20191024T12-07,-326
20191024T11-07,-297
20191024T10-07,-247
20191024T09-07,-224
20191024T08-07,-191
20191024T07-07,-396
20191024T06-07,-259
20191024T05-07,-94
20191024T04-07,-112
20191024T03-07,-174
20191024T02-07,-179
20191024T01-07,-234
20191024T00-07,-240
20191023T23-07,-322
20191023T22-07,-349
20191023T21-07,-364
20191023T20-07,-344
20191023T19-07,-358
20191023T18-07,-540
20191023T17-07,-492
20191023T16-07,-394
20191023T15-07,-559
20191023T14-07,-489
20191023T13-07,-417
20191023T12-07,-406
20191023T11-07,-361
20191023T10-07,-324
20191023T09-07,-208
20191023T08-07,-162
20191023T07-07,-272
20191023T06-07,-135
20191023T05-07,-116
20191023T04-07,-266
20191023T03-07,-239
20191023T02-07,-217
20191023T01-07,-206
20191023T00-07,-136
20191022T23-07,-223
20191022T22-07,-223
20191022T21-07,-387
20191022T20-07,-448
20191022T19-07,-332
20191022T18-07,-417
20191022T17-07,-462
20191022T16-07,-445
20191022T15-07,-259
20191022T14-07,-325
20191022T13-07,-435
20191022T12-07,-343
20191022T11-07,-264
20191022T10-07,-235
20191022T09-07,-276
20191022T08-07,-337
20191022T07-07,-170
20191022T06-07,-139
20191022T05-07,-126
20191022T04-07,-81
20191022T03-07,-81
20191022T02-07,-82
20191022T01-07,-112
20191022T00-07,-152
20191021T23-07,-221
20191021T22-07,-329
20191021T21-07,-322
20191021T20-07,-296
20191021T19-07,-372
20191021T18-07,-388
20191021T17-07,-428
20191021T16-07,-411
20191021T15-07,-412
20191021T14-07,-333
20191021T13-07,-259
20191021T12-07,-225
20191021T11-07,-193
20191021T10-07,-179
20191021T09-07,-130
20191021T08-07,-132
20191021T07-07,-228
20191021T06-07,-198
20191021T05-07,-172
20191021T04-07,-182
20191021T03-07,-179
20191021T02-07,-183
20191021T01-07,-215
20191021T00-07,-247
20191020T23-07,-155
20191020T22-07,-105
20191020T21-07,-152
20191020T20-07,-221
20191020T19-07,-410
20191020T18-07,-430
20191020T17-07,-385
20191020T16-07,-236
20191020T15-07,-254
20191020T14-07,-278
20191020T13-07,-316
20191020T12-07,-271
20191020T11-07,-225
20191020T10-07,-212
20191020T09-07,-133
20191020T08-07,-153
20191020T07-07,-158
20191020T06-07,-193
20191020T05-07,-148
20191020T04-07,-141
20191020T03-07,-145
20191020T02-07,-151
20191020T01-07,-119
20191020T00-07,-141
20191019T23-07,-181
20191019T22-07,-291
20191019T21-07,-295
20191019T20-07,-358
20191019T19-07,-384
20191019T18-07,-417
20191019T17-07,-424
20191019T16-07,-384
20191019T15-07,-362
20191019T14-07,-383
20191019T13-07,-349
20191019T12-07,-377
20191019T11-07,-327
20191019T10-07,-306
20191019T09-07,-282
20191019T08-07,-307
20191019T07-07,-359
