,Total interchange
20191113T05Z,-1628
20191113T04Z,-1176
20191113T03Z,-1773
20191113T02Z,-507
20191113T01Z,-322
20191113T00Z,674
20191112T23Z,1565
20191112T22Z,1851
20191112T21Z,-974
20191112T20Z,-1196
20191112T19Z,-1328
20191112T18Z,-1000
20191112T17Z,-1195
20191112T16Z,227
20191112T15Z,-839
20191112T14Z,-1140
20191112T13Z,-1320
20191112T12Z,-255
20191112T11Z,230
20191112T10Z,1211
20191112T09Z,1300
20191112T08Z,436
20191112T07Z,246
20191112T06Z,198
20191112T05Z,-1206
20191112T04Z,-1397
20191112T03Z,-643
20191112T02Z,-710
20191112T01Z,-952
20191112T00Z,-849
20191111T23Z,600
20191111T22Z,567
20191111T21Z,-410
20191111T20Z,-375
20191111T19Z,-131
20191111T18Z,-64
20191111T17Z,544
20191111T16Z,932
20191111T15Z,822
20191111T14Z,1778
20191111T13Z,2252
20191111T12Z,-414
20191111T11Z,849
20191111T10Z,1365
20191111T09Z,1246
20191111T08Z,3673
20191111T07Z,3610
20191111T06Z,4150
20191111T05Z,4405
20191111T04Z,4202
20191111T03Z,4555
20191111T02Z,3831
20191111T01Z,4261
20191111T00Z,4429
20191110T23Z,5086
20191110T22Z,5214
20191110T21Z,5437
20191110T20Z,3578
20191110T19Z,4578
20191110T18Z,4509
20191110T17Z,3627
20191110T16Z,4245
20191110T15Z,4224
20191110T14Z,1013
20191110T13Z,1244
20191110T12Z,1010
20191110T11Z,1356
20191110T10Z,1475
20191110T09Z,1619
20191110T08Z,1705
20191110T07Z,1223
20191110T06Z,1669
20191110T05Z,1424
20191110T04Z,1177
20191110T03Z,559
20191110T02Z,1288
20191110T01Z,1366
20191110T00Z,1884
20191109T23Z,3014
20191109T22Z,3322
20191109T21Z,3447
20191109T20Z,3648
20191109T19Z,3198
20191109T18Z,1173
20191109T17Z,531
20191109T16Z,-60
20191109T15Z,-792
20191109T14Z,-701
20191109T13Z,-397
20191109T12Z,-79
20191109T11Z,197
20191109T10Z,417
20191109T09Z,69
20191109T08Z,1828
20191109T07Z,1226
20191109T06Z,325
20191109T05Z,198
20191109T04Z,305
20191109T03Z,487
20191109T02Z,580
20191109T01Z,300
20191109T00Z,135
20191108T23Z,1122
20191108T22Z,1441
20191108T21Z,799
20191108T20Z,-53
20191108T19Z,-394
20191108T18Z,-219
20191108T17Z,-292
20191108T16Z,-544
20191108T15Z,-1331
20191108T14Z,-706
20191108T13Z,-462
20191108T12Z,414
20191108T11Z,1069
20191108T10Z,1278
20191108T09Z,1551
20191108T08Z,552
20191108T07Z,81
20191108T06Z,-32
20191108T05Z,-805
20191108T04Z,-1368
20191108T03Z,-2053
20191108T02Z,-12576
20191108T01Z,9842
20191108T00Z,-1012
20191107T23Z,-3854
20191107T22Z,98
20191107T21Z,-1167
20191107T20Z,-1366
20191107T19Z,-1585
20191107T18Z,-1586
20191107T17Z,-834
20191107T16Z,-501
20191107T15Z,-952
20191107T14Z,-648
20191107T13Z,294
20191107T12Z,815
20191107T11Z,1551
20191107T10Z,2384
20191107T09Z,2686
20191107T08Z,287
20191107T07Z,112
20191107T06Z,912
20191107T05Z,234
20191107T04Z,-370
20191107T03Z,-762
20191107T02Z,-1036
20191107T01Z,-80
20191107T00Z,872
20191106T23Z,693
20191106T22Z,425
20191106T21Z,-825
20191106T20Z,-439
20191106T19Z,-195
20191106T18Z,116
20191106T17Z,1217
20191106T16Z,1492
20191106T15Z,-2025
20191106T14Z,-1996
20191106T13Z,-1335
20191106T12Z,-37
20191106T11Z,471
20191106T10Z,-290
20191106T09Z,-1183
20191106T08Z,-789
20191106T07Z,-85
20191106T06Z,-63
20191106T05Z,-869
20191106T04Z,-906
20191106T03Z,-1074
20191106T02Z,-1145
20191106T01Z,-1273
20191106T00Z,-1048
20191105T23Z,-1463
