,Total interchange1
20191114T00-07,914
20191113T23-07,924
20191113T22-07,986
20191113T21-07,1100
20191113T20-07,1104
20191113T19-07,1095
20191113T18-07,1218
20191113T17-07,1200
20191113T16-07,1132
20191113T15-07,1275
20191113T14-07,1290
20191113T13-07,1300
20191113T12-07,1382
20191113T11-07,1436
20191113T10-07,1298
20191113T09-07,1249
20191113T08-07,1437
20191113T07-07,1317
20191113T06-07,1239
20191113T05-07,1020
20191113T04-07,927
20191113T03-07,704
20191113T02-07,748
20191113T01-07,793
20191113T00-07,965
20191112T23-07,982
20191112T22-07,928
20191112T21-07,1031
20191112T20-07,1208
20191112T19-07,1073
20191112T18-07,953
20191112T17-07,933
20191112T16-07,810
20191112T15-07,750
20191112T14-07,704
20191112T13-07,665
20191112T12-07,730
20191112T11-07,774
20191112T10-07,838
20191112T09-07,924
20191112T08-07,868
20191112T07-07,968
20191112T06-07,951
20191112T05-07,833
20191112T04-07,704
20191112T03-07,650
20191112T02-07,638
20191112T01-07,551
20191112T00-07,487
20191111T23-07,505
20191111T22-07,578
20191111T21-07,712
20191111T20-07,726
20191111T19-07,751
20191111T18-07,710
20191111T17-07,687
20191111T16-07,694
20191111T15-07,656
20191111T14-07,637
20191111T13-07,655
20191111T12-07,700
20191111T11-07,641
20191111T10-07,671
20191111T09-07,622
20191111T08-07,578
20191111T07-07,662
20191111T06-07,654
20191111T05-07,544
20191111T04-07,533
20191111T03-07,489
20191111T02-07,385
20191111T01-07,417
20191111T00-07,557
20191110T23-07,821
20191110T22-07,952
20191110T21-07,783
20191110T20-07,818
20191110T19-07,922
20191110T18-07,898
20191110T17-07,814
20191110T16-07,620
20191110T15-07,576
20191110T14-07,588
20191110T13-07,541
20191110T12-07,474
20191110T11-07,465
20191110T10-07,438
20191110T09-07,434
20191110T08-07,562
20191110T07-07,668
20191110T06-07,635
20191110T05-07,546
20191110T04-07,554
20191110T03-07,516
20191110T02-07,543
20191110T01-07,616
20191110T00-07,722
20191109T23-07,735
20191109T22-07,848
20191109T21-07,992
20191109T20-07,1162
20191109T19-07,1269
20191109T18-07,1300
20191109T17-07,1334
20191109T16-07,1345
20191109T15-07,1247
20191109T14-07,1192
20191109T13-07,1214
20191109T12-07,1100
20191109T11-07,1010
20191109T10-07,1009
20191109T09-07,1035
20191109T08-07,1212
20191109T07-07,1326
20191109T06-07,1205
20191109T05-07,1163
20191109T04-07,1100
20191109T03-07,1035
20191109T02-07,918
20191109T01-07,900
20191109T00-07,1094
20191108T23-07,1030
20191108T22-07,1090
20191108T21-07,1155
20191108T20-07,1263
20191108T19-07,1272
20191108T18-07,1211
20191108T17-07,1218
20191108T16-07,1222
20191108T15-07,1170
20191108T14-07,1149
20191108T13-07,1096
20191108T12-07,1123
20191108T11-07,1150
20191108T10-07,1113
20191108T09-07,1180
20191108T08-07,1284
20191108T07-07,1322
20191108T06-07,1217
20191108T05-07,1153
20191108T04-07,1075
20191108T03-07,1084
20191108T02-07,1176
20191108T01-07,1214
20191108T00-07,1420
20191107T23-07,1589
20191107T22-07,1815
20191107T21-07,1829
20191107T20-07,1740
20191107T19-07,1747
20191107T18-07,1720
20191107T17-07,1621
20191107T16-07,1527
20191107T15-07,1387
20191107T14-07,1317
20191107T13-07,1380
20191107T12-07,1436
20191107T11-07,1424
20191107T10-07,1383
20191107T09-07,1485
20191107T08-07,1511
20191107T07-07,1524
20191107T06-07,1384
20191107T05-07,1216
20191107T04-07,1126
20191107T03-07,1117
20191107T02-07,1172
20191107T01-07,1331
20191107T00-07,1476
20191106T23-07,1479
20191106T22-07,1542
20191106T21-07,1576
20191106T20-07,1514
20191106T19-07,1532
20191106T18-07,1472
20191106T17-07,1435
20191106T16-07,1506
20191106T15-07,1536
20191106T14-07,1549
20191106T13-07,1418
20191106T12-07,1440
20191106T11-07,1461
20191106T10-07,1519
20191106T09-07,1515
20191106T08-07,1570
20191106T07-07,1678
20191106T06-07,1562
20191106T05-07,1323
20191106T04-07,1339
20191106T03-07,1394
20191106T02-07,1431
20191106T01-07,1491
20191106T00-07,1580
20191105T23-07,1604
20191105T22-07,1630
20191105T21-07,1698
20191105T20-07,1670
20191105T19-07,1652
20191105T18-07,1618
20191105T17-07,1571
20191105T16-07,1483
20191105T15-07,1364
20191105T14-07,1193
20191105T13-07,1121
20191105T12-07,1199
20191105T11-07,1211
20191105T10-07,1225
20191105T09-07,1228
20191105T08-07,1384
20191105T07-07,1490
20191105T06-07,1560
20191105T05-07,1377
20191105T04-07,1365
20191105T03-07,1364
20191105T02-07,1343
20191105T01-07,1550
20191105T00-07,1639
20191104T23-07,1661
20191104T22-07,1667
20191104T21-07,1640
20191104T20-07,1605
20191104T19-07,1632
20191104T18-07,1574
20191104T17-07,1677
20191104T16-07,1485
20191104T15-07,1375
20191104T14-07,1370
20191104T13-07,1369
20191104T12-07,1462
20191104T11-07,1485
20191104T10-07,1524
20191104T09-07,1539
20191104T08-07,1532
20191104T07-07,1558
20191104T06-07,1553
20191104T05-07,1361
20191104T04-07,1361
20191104T03-07,1384
20191104T02-07,1377
20191104T01-07,1358
20191104T00-07,1381
20191103T23-07,1469
20191103T22-07,1554
20191103T21-07,1574
20191103T20-07,1577
20191103T19-07,1516
20191103T18-07,1383
20191103T17-07,1425
20191103T16-07,1392
20191103T15-07,1383
20191103T14-07,1443
