,Total interchange1
20200106T00-07,212
20200105T23-07,251
20200105T22-07,557
20200105T21-07,686
20200105T20-07,750
20200105T19-07,796
20200105T18-07,418
20200105T17-07,-29
20200105T16-07,-4
20200105T15-07,6
20200105T14-07,10
20200105T13-07,-125
20200105T12-07,-160
20200105T11-07,-153
20200105T10-07,-25
20200105T09-07,139
20200105T08-07,217
20200105T07-07,1
20200105T06-07,-67
20200105T05-07,-32
20200105T04-07,-21
20200105T03-07,83
20200105T02-07,23
20200105T01-07,69
20200105T00-07,182
20200104T23-07,264
20200104T22-07,663
20200104T21-07,671
20200104T20-07,502
20200104T19-07,468
20200104T18-07,224
20200104T17-07,-34
20200104T16-07,-62
20200104T15-07,-84
20200104T14-07,-93
20200104T13-07,-113
20200104T12-07,-118
20200104T11-07,-131
20200104T10-07,19
20200104T09-07,131
20200104T08-07,185
20200104T07-07,-52
20200104T06-07,-122
20200104T05-07,-106
20200104T04-07,-92
20200104T03-07,-49
20200104T02-07,-21
20200104T01-07,-8
20200104T00-07,-18
20200103T23-07,96
20200103T22-07,495
20200103T21-07,567
20200103T20-07,727
20200103T19-07,721
20200103T18-07,303
20200103T17-07,30
20200103T16-07,-95
20200103T15-07,-104
20200103T14-07,-112
20200103T13-07,-149
20200103T12-07,-124
20200103T11-07,-122
20200103T10-07,-48
20200103T09-07,301
20200103T08-07,278
20200103T07-07,63
20200103T06-07,-28
20200103T05-07,-30
20200103T04-07,6
20200103T03-07,7
20200103T02-07,43
20200103T01-07,42
20200103T00-07,47
20200102T23-07,215
20200102T22-07,366
20200102T21-07,482
20200102T20-07,552
20200102T19-07,598
20200102T18-07,370
20200102T17-07,186
20200102T16-07,-119
20200102T15-07,-110
20200102T14-07,-150
20200102T13-07,-150
20200102T12-07,-156
20200102T11-07,-157
20200102T10-07,73
20200102T09-07,206
20200102T08-07,277
20200102T07-07,84
20200102T06-07,-51
20200102T05-07,-52
20200102T04-07,-27
20200102T03-07,5
20200102T02-07,50
20200102T01-07,-13
20200102T00-07,94
20200101T23-07,134
20200101T22-07,288
20200101T21-07,320
20200101T20-07,388
20200101T19-07,423
20200101T18-07,161
20200101T17-07,39
20200101T16-07,-115
20200101T15-07,-150
20200101T14-07,-152
20200101T13-07,-161
20200101T12-07,-149
20200101T11-07,-155
20200101T10-07,-72
20200101T09-07,144
20200101T08-07,146
20200101T07-07,-62
20200101T06-07,-80
20200101T05-07,-50
20200101T04-07,-39
20200101T03-07,-30
20200101T02-07,30
20200101T01-07,-45
20200101T00-07,-29
20191231T23-07,1
20191231T22-07,58
20191231T21-07,126
20191231T20-07,226
20191231T19-07,171
20191231T18-07,18
20191231T17-07,-98
20191231T16-07,-109
20191231T15-07,-120
20191231T14-07,-122
20191231T13-07,-140
20191231T12-07,-165
20191231T11-07,-163
20191231T10-07,-95
20191231T09-07,-94
20191231T08-07,-16
20191231T07-07,-164
20191231T06-07,-175
20191231T05-07,-129
20191231T04-07,-125
20191231T03-07,-113
20191231T02-07,-99
20191231T01-07,-125
20191231T00-07,-97
20191230T23-07,75
20191230T22-07,98
20191230T21-07,89
20191230T20-07,86
20191230T19-07,191
20191230T18-07,-2
20191230T17-07,-142
20191230T16-07,-147
20191230T15-07,-148
20191230T14-07,-177
20191230T13-07,-193
20191230T12-07,-167
20191230T11-07,-129
20191230T10-07,-88
20191230T09-07,-33
20191230T08-07,-131
20191230T07-07,-178
20191230T06-07,-222
20191230T05-07,-178
20191230T04-07,-156
20191230T03-07,-142
20191230T02-07,-130
20191230T01-07,-137
20191230T00-07,-124
20191229T23-07,13
20191229T22-07,-7
20191229T21-07,169
20191229T20-07,107
20191229T19-07,47
20191229T18-07,-27
20191229T17-07,-72
20191229T16-07,-171
20191229T15-07,-153
20191229T14-07,-177
20191229T13-07,-155
20191229T12-07,-157
20191229T11-07,-173
20191229T10-07,-129
20191229T09-07,-45
20191229T08-07,-65
20191229T07-07,-148
20191229T06-07,-240
20191229T05-07,-246
20191229T04-07,-214
20191229T03-07,-170
20191229T02-07,-170
20191229T01-07,-172
20191229T00-07,-88
20191228T23-07,52
20191228T22-07,6
20191228T21-07,-81
20191228T20-07,-40
20191228T19-07,2
20191228T18-07,-17
20191228T17-07,-151
20191228T16-07,-153
20191228T15-07,-148
20191228T14-07,-159
20191228T13-07,-152
20191228T12-07,-164
20191228T11-07,-138
20191228T10-07,-104
20191228T09-07,-29
20191228T08-07,32
20191228T07-07,-123
20191228T06-07,-191
20191228T05-07,-165
20191228T04-07,-137
20191228T03-07,-122
20191228T02-07,-114
20191228T01-07,-107
20191228T00-07,-102
20191227T23-07,-35
20191227T22-07,-46
20191227T21-07,-58
20191227T20-07,31
20191227T19-07,94
20191227T18-07,13
20191227T17-07,-170
20191227T16-07,-153
20191227T15-07,-146
20191227T14-07,-150
20191227T13-07,-145
20191227T12-07,-126
20191227T11-07,-124
20191227T10-07,-83
20191227T09-07,38
20191227T08-07,91
20191227T07-07,-81
20191227T06-07,-163
20191227T05-07,-129
20191227T04-07,-126
20191227T03-07,-127
20191227T02-07,-122
20191227T01-07,-127
20191227T00-07,-97
20191226T23-07,30
20191226T22-07,45
20191226T21-07,109
20191226T20-07,239
20191226T19-07,283
20191226T18-07,59
20191226T17-07,-50
20191226T16-07,-100
20191226T15-07,-81
20191226T14-07,-90
20191226T13-07,-90
20191226T12-07,-75
20191226T11-07,-93
20191226T10-07,-43
20191226T09-07,-30
20191226T08-07,-71
20191226T07-07,-127
20191226T06-07,-153
20191226T05-07,-129
20191226T04-07,-108
20191226T03-07,-122
20191226T02-07,-115
20191226T01-07,-164
20191226T00-07,-100
20191225T23-07,55
20191225T22-07,150
20191225T21-07,226
20191225T20-07,291
20191225T19-07,205
20191225T18-07,23
20191225T17-07,-14
20191225T16-07,-61
20191225T15-07,-121
20191225T14-07,-127
20191225T13-07,-74
20191225T12-07,-60
20191225T11-07,-54
20191225T10-07,-66
20191225T09-07,-25
20191225T08-07,-33
20191225T07-07,-104
20191225T06-07,-165
20191225T05-07,-148
20191225T04-07,-132
20191225T03-07,-130
20191225T02-07,-121
20191225T01-07,-124
20191225T00-07,-89
20191224T23-07,84
20191224T22-07,128
20191224T21-07,68
20191224T20-07,190
20191224T19-07,115
20191224T18-07,-20
20191224T17-07,-126
20191224T16-07,-124
20191224T15-07,-135
20191224T14-07,-112
20191224T13-07,-129
20191224T12-07,-128
20191224T11-07,-145
20191224T10-07,-119
20191224T09-07,20
20191224T08-07,-64
20191224T07-07,-100
20191224T06-07,-175
20191224T05-07,-138
20191224T04-07,-127
20191224T03-07,-125
20191224T02-07,-105
20191224T01-07,-55
20191224T00-07,-35
20191223T23-07,42
20191223T22-07,106
20191223T21-07,108
20191223T20-07,168
20191223T19-07,147
20191223T18-07,31
20191223T17-07,-124
20191223T16-07,-87
20191223T15-07,-118
20191223T14-07,-120
20191223T13-07,-94
20191223T12-07,-113
20191223T11-07,-140
20191223T10-07,-124
20191223T09-07,-26
20191223T08-07,-55
20191223T07-07,-131
20191223T06-07,-135
20191223T05-07,-136
20191223T04-07,-113
20191223T03-07,-119
20191223T02-07,-107
20191223T01-07,-134
20191223T00-07,-60
20191222T23-07,65
20191222T22-07,158
20191222T21-07,200
20191222T20-07,207
20191222T19-07,234
20191222T18-07,-28
20191222T17-07,-168
20191222T16-07,-156
20191222T15-07,-147
20191222T14-07,-128
20191222T13-07,-136
20191222T12-07,-132
20191222T11-07,-124
20191222T10-07,-116
20191222T09-07,-73
20191222T08-07,-78
20191222T07-07,-121
20191222T06-07,-151
20191222T05-07,-113
20191222T04-07,-115
20191222T03-07,-108
20191222T02-07,-87
20191222T01-07,-81
20191222T00-07,-79
20191221T23-07,22
20191221T22-07,55
20191221T21-07,38
20191221T20-07,142
20191221T19-07,181
20191221T18-07,-54
20191221T17-07,-152
20191221T16-07,-138
20191221T15-07,-148
20191221T14-07,-140
20191221T13-07,-143
20191221T12-07,-156
20191221T11-07,-148
20191221T10-07,-150
20191221T09-07,-94
20191221T08-07,-141
20191221T07-07,-128
20191221T06-07,-188
20191221T05-07,-158
20191221T04-07,-141
20191221T03-07,-125
20191221T02-07,-105
20191221T01-07,-93
20191221T00-07,-26
20191220T23-07,132
20191220T22-07,60
20191220T21-07,155
20191220T20-07,186
20191220T19-07,191
20191220T18-07,-38
20191220T17-07,-134
20191220T16-07,-155
20191220T15-07,-152
20191220T14-07,-130
20191220T13-07,-139
20191220T12-07,-143
20191220T11-07,-163
20191220T10-07,-168
20191220T09-07,-61
20191220T08-07,28
20191220T07-07,-179
20191220T06-07,-147
20191220T05-07,-117
20191220T04-07,-100
20191220T03-07,-107
20191220T02-07,-107
20191220T01-07,-58
20191220T00-07,-56
20191219T23-07,-79
20191219T22-07,-157
20191219T21-07,-115
20191219T20-07,-73
20191219T19-07,-103
20191219T18-07,-121
20191219T17-07,-177
20191219T16-07,-139
20191219T15-07,-136
20191219T14-07,-160
20191219T13-07,-165
20191219T12-07,-183
20191219T11-07,-179
20191219T10-07,-106
20191219T09-07,-13
20191219T08-07,-49
20191219T07-07,-188
20191219T06-07,-168
20191219T05-07,-155
20191219T04-07,-148
20191219T03-07,-133
20191219T02-07,-126
20191219T01-07,-74
20191219T00-07,-46
20191218T23-07,-47
20191218T22-07,72
20191218T21-07,187
20191218T20-07,228
20191218T19-07,214
20191218T18-07,47
20191218T17-07,-107
20191218T16-07,-123
20191218T15-07,-110
20191218T14-07,-85
20191218T13-07,-123
20191218T12-07,-108
20191218T11-07,-143
20191218T10-07,-125
20191218T09-07,-77
20191218T08-07,48
20191218T07-07,-157
20191218T06-07,-80
20191218T05-07,-108
20191218T04-07,-86
20191218T03-07,-81
20191218T02-07,-44
20191218T01-07,-19
20191218T00-07,-64
20191217T23-07,-59
20191217T22-07,57
20191217T21-07,157
20191217T20-07,206
20191217T19-07,154
20191217T18-07,-9
20191217T17-07,-69
20191217T16-07,-58
20191217T15-07,-96
20191217T14-07,-104
20191217T13-07,-71
20191217T12-07,-89
20191217T11-07,-118
20191217T10-07,-82
20191217T09-07,16
20191217T08-07,0
20191217T07-07,-5
20191217T06-07,-31
20191217T05-07,-35
20191217T04-07,-44
20191217T03-07,-18
20191217T02-07,9
20191217T01-07,-21
20191217T00-07,-47
20191216T23-07,-9
20191216T22-07,16
20191216T21-07,171
20191216T20-07,199
20191216T19-07,247
20191216T18-07,152
20191216T17-07,-12
20191216T16-07,-80
20191216T15-07,-99
20191216T14-07,-103
20191216T13-07,-126
20191216T12-07,-125
20191216T11-07,-125
20191216T10-07,-82
20191216T09-07,98
20191216T08-07,167
20191216T07-07,38
20191216T06-07,-48
20191216T05-07,-77
20191216T04-07,-54
20191216T03-07,-23
20191216T02-07,-15
20191216T01-07,-13
20191216T00-07,27
20191215T23-07,69
20191215T22-07,68
20191215T21-07,205
20191215T20-07,276
20191215T19-07,395
20191215T18-07,60
20191215T17-07,-43
20191215T16-07,-43
20191215T15-07,-49
20191215T14-07,-50
20191215T13-07,-43
20191215T12-07,-65
20191215T11-07,-74
20191215T10-07,-56
20191215T09-07,66
20191215T08-07,81
20191215T07-07,44
20191215T06-07,-59
20191215T05-07,-37
20191215T04-07,-24
20191215T03-07,-24
20191215T02-07,-19
20191215T01-07,53
20191215T00-07,24
20191214T23-07,87
20191214T22-07,245
20191214T21-07,229
20191214T20-07,131
20191214T19-07,125
20191214T18-07,5
20191214T17-07,-88
20191214T16-07,-83
20191214T15-07,-95
20191214T14-07,-96
20191214T13-07,-70
20191214T12-07,-68
20191214T11-07,-63
20191214T10-07,-96
20191214T09-07,81
20191214T08-07,53
20191214T07-07,56
20191214T06-07,-40
20191214T05-07,-23
20191214T04-07,3
20191214T03-07,13
20191214T02-07,49
20191214T01-07,72
20191214T00-07,178
20191213T23-07,106
20191213T22-07,167
20191213T21-07,243
20191213T20-07,147
20191213T19-07,201
20191213T18-07,45
20191213T17-07,-87
20191213T16-07,-55
20191213T15-07,-67
20191213T14-07,-55
20191213T13-07,-81
20191213T12-07,-84
20191213T11-07,-93
20191213T10-07,-96
20191213T09-07,27
20191213T08-07,37
20191213T07-07,127
20191213T06-07,-12
20191213T05-07,-21
20191213T04-07,-11
20191213T03-07,-1
20191213T02-07,32
20191213T01-07,43
20191213T00-07,18
20191212T23-07,-87
20191212T22-07,-31
20191212T21-07,129
20191212T20-07,200
20191212T19-07,304
20191212T18-07,-82
20191212T17-07,-86
20191212T16-07,-116
20191212T15-07,-114
20191212T14-07,-119
20191212T13-07,-121
20191212T12-07,-82
20191212T11-07,-73
20191212T10-07,-123
20191212T09-07,76
20191212T08-07,96
20191212T07-07,142
