,Total interchange
20191113T06Z,146
20191113T05Z,160
20191113T04Z,163
20191113T03Z,172
20191113T02Z,145
20191113T01Z,76
20191113T00Z,74
20191112T23Z,64
20191112T22Z,45
20191112T21Z,61
20191112T20Z,51
20191112T19Z,107
20191112T18Z,164
20191112T17Z,164
20191112T16Z,156
20191112T15Z,150
20191112T14Z,166
20191112T13Z,175
20191112T12Z,175
20191112T11Z,177
20191112T10Z,178
20191112T09Z,174
20191112T08Z,177
20191112T06Z,172
20191112T05Z,158
20191112T04Z,166
20191112T03Z,154
20191112T02Z,159
20191112T01Z,174
20191112T00Z,169
20191111T23Z,155
20191111T22Z,147
20191111T21Z,128
20191111T20Z,83
20191111T19Z,63
20191111T18Z,49
20191111T17Z,18
20191111T16Z,1
20191111T15Z,0
20191111T14Z,-2
20191111T13Z,-2
20191111T12Z,-3
20191111T11Z,-3
20191111T10Z,-3
20191111T09Z,-3
20191111T08Z,-4
20191111T06Z,-5
20191111T05Z,-4
20191111T04Z,-5
20191111T03Z,-3
20191111T02Z,-4
20191111T01Z,-4
20191111T00Z,-5
20191110T23Z,-4
20191110T22Z,-5
20191110T21Z,-4
20191110T20Z,-4
20191110T19Z,-5
20191110T18Z,-4
20191110T17Z,-5
20191110T16Z,-5
20191110T15Z,-4
20191110T14Z,-5
20191110T13Z,-4
20191110T12Z,-5
20191110T11Z,-4
20191110T10Z,-5
20191110T09Z,-4
20191110T08Z,-4
20191110T06Z,-4
20191110T05Z,-4
20191110T04Z,-4
20191110T03Z,-4
20191110T02Z,-4
20191110T01Z,-2
20191110T00Z,5
20191109T23Z,18
20191109T22Z,45
20191109T21Z,78
20191109T20Z,92
20191109T19Z,111
20191109T18Z,143
20191109T17Z,158
20191109T16Z,173
20191109T15Z,179
20191109T14Z,178
20191109T13Z,179
20191109T12Z,180
20191109T11Z,172
20191109T10Z,176
20191109T09Z,170
20191109T08Z,169
20191109T06Z,178
20191109T05Z,180
20191109T04Z,174
20191109T03Z,179
20191109T02Z,180
20191109T01Z,180
20191109T00Z,180
20191108T23Z,181
20191108T22Z,180
20191108T21Z,179
20191108T20Z,168
20191108T19Z,157
20191108T18Z,163
20191108T17Z,149
20191108T16Z,135
20191108T15Z,131
20191108T14Z,141
20191108T13Z,147
20191108T12Z,165
20191108T11Z,174
20191108T10Z,179
20191108T09Z,177
20191108T08Z,177
20191108T06Z,180
20191108T05Z,177
20191108T04Z,174
20191108T03Z,172
20191108T02Z,180
20191108T01Z,180
20191108T00Z,164
20191107T23Z,136
20191107T22Z,112
20191107T21Z,88
20191107T20Z,58
20191107T19Z,81
20191107T18Z,88
20191107T17Z,64
20191107T16Z,98
20191107T15Z,108
20191107T14Z,73
20191107T13Z,110
20191107T12Z,125
20191107T11Z,130
20191107T10Z,95
20191107T09Z,73
20191107T08Z,35
20191107T06Z,60
20191107T05Z,21
20191107T04Z,-1
20191107T03Z,7
20191107T02Z,25
20191107T01Z,35
20191107T00Z,48
20191106T23Z,48
20191106T22Z,47
20191106T21Z,41
20191106T20Z,13
20191106T19Z,4
20191106T18Z,2
20191106T17Z,1
20191106T16Z,-1
20191106T15Z,-3
20191106T14Z,-4
20191106T13Z,-5
20191106T12Z,-3
20191106T11Z,1
20191106T10Z,5
20191106T09Z,9
20191106T08Z,14
20191106T06Z,37
20191106T05Z,51
20191106T04Z,67
20191106T03Z,65
20191106T02Z,82
20191106T01Z,71
20191106T00Z,75
20191105T23Z,102
20191105T22Z,118
20191105T21Z,122
20191105T20Z,-93
20191105T19Z,54
20191105T18Z,40
20191105T17Z,52
20191105T16Z,43
20191105T15Z,5
20191105T14Z,-2
20191105T13Z,-3
20191105T12Z,-3
20191105T11Z,-2
20191105T10Z,4
20191105T09Z,8
20191105T08Z,5
20191105T06Z,16
20191105T05Z,7
20191105T04Z,1
20191105T03Z,4
20191105T02Z,8
20191105T01Z,11
20191105T00Z,12
20191104T23Z,8
20191104T22Z,5
20191104T21Z,4
20191104T20Z,5
20191104T19Z,7
20191104T18Z,7
20191104T17Z,4
20191104T16Z,8
20191104T15Z,12
20191104T14Z,14
20191104T13Z,2
20191104T12Z,2
20191104T11Z,-1
20191104T10Z,-3
20191104T09Z,-3
20191104T08Z,-2
20191103T07Z,167
20191103T05Z,174
20191103T04Z,162
20191103T03Z,152
20191103T02Z,160
20191103T01Z,172
20191103T00Z,177
20191102T23Z,163
20191102T22Z,137
20191102T21Z,96
20191102T20Z,95
20191102T19Z,123
20191102T18Z,129
20191102T17Z,117
20191102T16Z,96
20191102T15Z,100
20191102T14Z,142
20191102T13Z,130
20191102T12Z,127
20191102T11Z,150
20191102T10Z,157
20191102T09Z,161
20191102T08Z,167
20191102T07Z,179
20191102T05Z,114
20191102T04Z,117
20191102T03Z,155
20191102T02Z,163
20191102T01Z,167
20191102T00Z,159
20191101T23Z,87
20191101T22Z,36
20191101T21Z,18
20191101T20Z,27
20191101T19Z,27
20191101T18Z,30
20191101T17Z,47
20191101T16Z,44
20191101T15Z,72
20191101T14Z,87
20191101T13Z,84
20191101T12Z,35
20191101T11Z,56
20191101T10Z,89
20191101T09Z,89
20191101T08Z,103
20191101T07Z,70
20191101T05Z,166
20191101T04Z,168
20191101T03Z,169
20191101T02Z,123
20191101T01Z,142
20191101T00Z,112
20191031T23Z,103
20191031T22Z,70
20191031T21Z,9
20191031T20Z,-3
20191031T19Z,6
20191031T18Z,56
20191031T17Z,154
20191031T16Z,129
20191031T15Z,169
20191031T14Z,175
20191031T13Z,163
20191031T12Z,179
20191031T11Z,166
20191031T10Z,160
20191031T09Z,162
20191031T08Z,164
20191031T07Z,169
20191031T05Z,176
20191031T04Z,179
20191031T03Z,179
20191031T02Z,178
20191031T01Z,179
20191031T00Z,179
20191030T23Z,165
20191030T22Z,132
20191030T21Z,101
20191030T20Z,99
20191030T19Z,107
20191030T18Z,128
20191030T17Z,149
20191030T16Z,160
20191030T15Z,155
20191030T14Z,151
20191030T13Z,160
20191030T12Z,168
20191030T11Z,173
20191030T10Z,172
20191030T09Z,164
20191030T08Z,164
20191030T07Z,165
20191030T05Z,124
20191030T04Z,88
20191030T03Z,74
20191030T02Z,35
20191030T01Z,50
20191030T00Z,61
20191029T23Z,53
20191029T22Z,37
20191029T21Z,45
20191029T20Z,39
20191029T19Z,46
20191029T18Z,51
20191029T17Z,39
20191029T16Z,45
20191029T15Z,51
20191029T14Z,74
20191029T13Z,87
20191029T12Z,94
20191029T11Z,124
20191029T10Z,139
20191029T09Z,134
20191029T08Z,155
20191029T07Z,150
20191029T05Z,122
20191029T04Z,149
20191029T03Z,166
20191029T02Z,154
20191029T01Z,171
20191029T00Z,163
20191028T23Z,167
20191028T22Z,176
20191028T21Z,179
20191028T20Z,173
20191028T19Z,176
20191028T18Z,176
20191028T17Z,171
20191028T16Z,170
20191028T15Z,171
20191028T14Z,164
20191028T13Z,171
20191028T12Z,143
20191028T11Z,101
20191028T10Z,67
20191028T09Z,93
20191028T08Z,107
20191028T07Z,127
20191028T05Z,149
20191028T04Z,140
20191028T03Z,134
20191028T02Z,111
20191028T01Z,80
20191028T00Z,66
20191027T23Z,82
20191027T22Z,60
20191027T21Z,96
20191027T20Z,123
20191027T19Z,107
20191027T18Z,144
20191027T17Z,131
20191027T16Z,113
20191027T15Z,147
20191027T14Z,176
20191027T13Z,178
20191027T12Z,164
20191027T11Z,148
20191027T10Z,121
20191027T09Z,106
20191027T08Z,87
20191027T07Z,86
20191027T05Z,137
20191027T04Z,149
20191027T03Z,142
20191027T02Z,163
20191027T01Z,170
20191027T00Z,172
20191026T23Z,176
20191026T22Z,171
20191026T21Z,154
20191026T20Z,134
20191026T19Z,117
20191026T18Z,108
20191026T17Z,83
20191026T16Z,56
20191026T15Z,68
20191026T14Z,58
20191026T13Z,72
20191026T12Z,108
20191026T11Z,127
20191026T10Z,81
20191026T09Z,98
20191026T08Z,0
20191026T07Z,0
20191026T05Z,178
20191026T04Z,177
20191026T03Z,176
20191026T02Z,118
20191026T01Z,84
20191026T00Z,166
20191025T23Z,112
20191025T22Z,30
20191025T21Z,144
20191025T20Z,137
20191025T19Z,112
20191025T18Z,180
20191025T17Z,164
20191025T16Z,164
20191025T15Z,165
20191025T14Z,138
20191025T13Z,158
20191025T12Z,174
20191025T11Z,126
20191025T10Z,175
20191025T09Z,171
20191025T08Z,181
20191025T07Z,181
20191025T05Z,183
20191025T04Z,182
20191025T03Z,182
20191025T02Z,179
20191025T01Z,163
20191025T00Z,139
20191024T23Z,172
20191024T22Z,153
20191024T21Z,123
20191024T20Z,119
20191024T19Z,108
20191024T18Z,152
20191024T17Z,110
20191024T16Z,67
20191024T15Z,97
20191024T14Z,110
20191024T13Z,119
20191024T12Z,121
20191024T11Z,82
20191024T10Z,92
20191024T09Z,111
20191024T08Z,69
20191024T07Z,39
20191024T05Z,6
20191024T04Z,0
20191024T03Z,10
20191024T02Z,31
20191024T01Z,66
20191024T00Z,111
20191023T23Z,152
20191023T22Z,162
20191023T21Z,174
20191023T20Z,168
20191023T19Z,172
20191023T18Z,165
20191023T17Z,140
20191023T16Z,151
20191023T15Z,147
20191023T14Z,135
20191023T13Z,171
20191023T12Z,162
20191023T11Z,131
20191023T10Z,118
20191023T09Z,106
20191023T08Z,113
20191023T07Z,106
20191023T05Z,114
20191023T04Z,118
20191023T03Z,126
20191023T02Z,131
20191023T01Z,181
20191023T00Z,155
20191022T23Z,179
20191022T22Z,165
20191022T21Z,137
20191022T20Z,29
20191022T19Z,98
20191022T18Z,170
20191022T17Z,125
20191022T16Z,132
20191022T15Z,152
20191022T14Z,155
20191022T13Z,108
20191022T12Z,120
20191022T11Z,123
20191022T10Z,110
20191022T09Z,124
20191022T08Z,96
20191022T07Z,121
20191022T05Z,120
20191022T04Z,166
20191022T03Z,180
20191022T02Z,181
20191022T01Z,175
20191022T00Z,172
20191021T23Z,179
20191021T22Z,172
20191021T21Z,135
20191021T20Z,90
20191021T19Z,99
20191021T18Z,91
20191021T17Z,75
20191021T16Z,113
20191021T15Z,73
20191021T14Z,42
20191021T13Z,59
20191021T12Z,62
20191021T11Z,74
20191021T10Z,90
20191021T09Z,101
20191021T08Z,105
20191021T07Z,89
20191021T05Z,98
20191021T04Z,132
20191021T03Z,133
20191021T02Z,127
20191021T01Z,98
20191021T00Z,101
20191020T23Z,94
20191020T22Z,100
20191020T21Z,66
20191020T20Z,23
20191020T19Z,14
20191020T18Z,14
20191020T17Z,8
20191020T16Z,8
20191020T15Z,12
20191020T14Z,37
20191020T13Z,54
20191020T12Z,47
20191020T11Z,40
20191020T10Z,29
20191020T09Z,55
20191020T08Z,47
20191020T07Z,25
20191020T05Z,2
20191020T04Z,-3
20191020T03Z,-1
20191020T02Z,0
20191020T01Z,9
20191020T00Z,11
20191019T23Z,4
20191019T22Z,1
20191019T21Z,18
20191019T20Z,32
20191019T19Z,39
20191019T18Z,35
20191019T17Z,77
20191019T16Z,99
20191019T15Z,149
20191019T14Z,157
20191019T13Z,175
20191019T12Z,176
20191019T11Z,166
20191019T10Z,175
20191019T09Z,179
20191019T08Z,162
20191019T07Z,165
20191019T05Z,181
20191019T04Z,182
20191019T03Z,182
20191019T02Z,183
20191019T01Z,183
20191019T00Z,181
20191018T23Z,176
20191018T22Z,179
20191018T21Z,174
20191018T20Z,174
20191018T19Z,179
20191018T18Z,174
20191018T17Z,174
20191018T16Z,172
20191018T15Z,164
20191018T14Z,131
20191018T13Z,155
20191018T12Z,89
20191018T11Z,61
20191018T10Z,102
20191018T09Z,173
20191018T08Z,177
20191018T07Z,174
20191018T05Z,174
20191018T04Z,174
20191018T03Z,171
20191018T02Z,173
20191018T01Z,179
20191018T00Z,166
20191017T23Z,175
20191017T22Z,179
20191017T21Z,176
20191017T20Z,165
20191017T19Z,176
20191017T18Z,173
20191017T17Z,176
20191017T16Z,171
20191017T15Z,150
20191017T14Z,132
20191017T13Z,123
20191017T12Z,70
20191017T11Z,75
20191017T10Z,87
20191017T09Z,67
20191017T08Z,65
20191017T07Z,53
20191017T05Z,98
20191017T04Z,128
20191017T03Z,139
20191017T02Z,150
20191017T01Z,139
20191017T00Z,123
20191016T23Z,82
20191016T22Z,77
20191016T21Z,46
20191016T20Z,50
20191016T19Z,39
20191016T18Z,67
20191016T17Z,48
20191016T16Z,46
20191016T15Z,77
20191016T14Z,151
20191016T13Z,158
20191016T12Z,139
20191016T11Z,119
20191016T10Z,147
20191016T09Z,152
20191016T08Z,177
20191016T07Z,172
20191016T05Z,88
20191016T04Z,78
20191016T03Z,81
20191016T02Z,107
20191016T01Z,95
20191016T00Z,83
20191015T23Z,87
20191015T22Z,106
20191015T21Z,119
20191015T20Z,127
20191015T19Z,109
20191015T18Z,89
20191015T17Z,97
20191015T16Z,83
20191015T15Z,103
20191015T14Z,50
20191015T13Z,14
20191015T12Z,2
20191015T11Z,-3
20191015T10Z,-3
20191015T09Z,-3
20191015T08Z,-3
20191015T07Z,-2
20191015T05Z,40
20191015T04Z,62
20191015T03Z,60
20191015T02Z,61
20191015T01Z,74
20191015T00Z,89
20191014T23Z,102
20191014T22Z,92
20191014T21Z,111
20191014T20Z,145
20191014T19Z,112
20191014T18Z,134
20191014T17Z,133
20191014T16Z,116
