      Time                Qrx             Qth             Qtrans           Flowv              Pp               Px             PxIND            PRZLVL         PRZLVLIND         VelSRG            QHTRP            QHTRB         SCV Position      Spray GPM           THL            THL Ind            TCL            TCL Ind          TaveREF           Tave            Tave Ind          Tmod           Flow SFWS         Flow FD        Flow FD Ind         Demand         Steam Flow     Steam Flow Ind       Wload            Wturb           Omega FP        Texit SG 1      Texit SG IND     SG Exit Void       Dryout 1        SGLVL Ind           Trx            TCL Hot           MDNBR            Tfeed           TfeedIND          Qsteam            PSG             PSG Ind           Pimp          DeltaP SG      DeltaP SG IND     DP elev SG         Deltat             rho             rhoX              FCV              FBV             SFWV             TCV 1            TCV 2            TCV 3            TCV 4            TBV 1            TBV 2            TBV 3            TBV 4            BANK A           BANK B           BANK C           BANK D           RhoCBA           RhoCBB           RhoCBC           RhoCBD          TESLoad       TESFlowDemand       FlowAUX1         FlowAUX2         FlowAUX3           PTAP           Tsat Tap          PTES           TES_TBV(1)       TES_TBV(2)       TES_TBV(3)       TES_TBV(4)
   .00000000E+00    .49280510E+03    .53005420E+03    .51544780E+03    .30017270E+08    .20503950E+04    .20499920E+04    .20499920E+04    .56051590E+02    .56051590E+02    .40799440E-02    .10454690E+02    .00000000E+00    .00000000E+00    .99897480E+00    .61062820E+03    .61062820E+03    .56555770E+03    .56555770E+03    .58799980E+03    .58809290E+03    .58809290E+03    .58809290E+03    .00000000E+00    .26620380E+06    .26620380E+06    .26620030E+06    .26620220E+06    .26620210E+06    .18000000E+03    .17999760E+03    .37085300E+04    .57138360E+03    .57138360E+03    .10000000E+01    .63926060E+02    .13776410E+02    .98539270E+03    .24602000E+04    .31335700E+01    .41394210E+03    .41394210E+03    .53205740E+03    .82499680E+03    .82499680E+03    .80193760E+03    .45666570E+01    .45666570E+01    .23650610E+01    .30000000E+00   -.10037020E-06    .20411300E-03    .78453070E+00    .00000000E+00    .00000000E+00    .81051150E+00    .81051150E+00    .81051150E+00    .81051150E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42975920E+02    .27183320E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30000000E+00    .49280360E+03    .53005270E+03    .51545220E+03    .30017270E+08    .20503940E+04    .20499920E+04    .20499920E+04    .56051580E+02    .56051580E+02   -.36510710E-02    .10456800E+02    .00000000E+00    .00000000E+00    .99897470E+00    .61062840E+03    .61062840E+03    .56555760E+03    .56555760E+03    .58809700E+03    .58809300E+03    .58809300E+03    .58809300E+03    .00000000E+00    .26620370E+06    .26620370E+06    .26620030E+06    .26620840E+06    .26620840E+06    .18000000E+03    .18000090E+03    .37085300E+04    .57137520E+03    .57137520E+03    .10000000E+01    .63925920E+02    .13776410E+02    .98539190E+03    .24601980E+04    .31335400E+01    .41394140E+03    .41394140E+03    .53205740E+03    .82499600E+03    .82499600E+03    .80194930E+03    .45666570E+01    .45666570E+01    .23650600E+01    .13951460E-01   -.15687330E-06    .20410530E-03    .78453050E+00    .00000000E+00    .00000000E+00    .81050530E+00    .81050530E+00    .81050530E+00    .81050530E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42977210E+02    .27183500E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .10115260E+01    .49280800E+03    .53005700E+03    .51544200E+03    .30017270E+08    .20503970E+04    .20499940E+04    .20499940E+04    .56051630E+02    .56051630E+02   -.46888790E-02    .10460750E+02    .00000000E+00    .00000000E+00    .99897470E+00    .61062820E+03    .61062820E+03    .56555760E+03    .56555760E+03    .58809310E+03    .58809290E+03    .58809290E+03    .58809290E+03    .00000000E+00    .26620390E+06    .26620390E+06    .26620030E+06    .26620320E+06    .26620320E+06    .18000000E+03    .17999820E+03    .37085310E+04    .57138350E+03    .57138350E+03    .10000000E+01    .63926760E+02    .13776390E+02    .98539090E+03    .24601920E+04    .31336100E+01    .41394200E+03    .41394200E+03    .53206100E+03    .82499640E+03    .82499640E+03    .80193150E+03    .45666490E+01    .45666490E+01    .23650610E+01    .13951510E-01   -.78358880E-07    .20410580E-03    .78453050E+00    .00000000E+00    .00000000E+00    .81044980E+00    .81044980E+00    .81044980E+00    .81044980E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42976270E+02    .27183360E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .20020850E+01    .49280910E+03    .53005820E+03    .51544330E+03    .30017260E+08    .20503980E+04    .20499970E+04    .20499970E+04    .56051670E+02    .56051670E+02    .77076290E-02    .10465310E+02    .00000000E+00    .00000000E+00    .99897490E+00    .61062780E+03    .61062780E+03    .56555790E+03    .56555790E+03    .58809300E+03    .58809280E+03    .58809280E+03    .58809280E+03    .00000000E+00    .26620280E+06    .26620280E+06    .26620040E+06    .26620340E+06    .26620340E+06    .18000000E+03    .17999890E+03    .37085310E+04    .57138680E+03    .57138680E+03    .10000000E+01    .63926270E+02    .13776360E+02    .98539070E+03    .24601850E+04    .31336060E+01    .41394150E+03    .41394150E+03    .53205500E+03    .82499900E+03    .82499900E+03    .80193480E+03    .45666390E+01    .45666390E+01    .23650600E+01    .13951460E-01   -.51930330E-07    .20410580E-03    .78453050E+00    .00000000E+00    .00000000E+00    .81041590E+00    .81041590E+00    .81041590E+00    .81041590E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42976450E+02    .27183390E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30065960E+01    .49280190E+03    .53005100E+03    .51544460E+03    .30017230E+08    .20504010E+04    .20499970E+04    .20499970E+04    .56051670E+02    .56051670E+02   -.60434450E-02    .10467190E+02    .00000000E+00    .00000000E+00    .99897530E+00    .61062790E+03    .61062790E+03    .56555820E+03    .56555820E+03    .58809330E+03    .58809310E+03    .58809310E+03    .58809310E+03    .00000000E+00    .26620360E+06    .26620360E+06    .26620040E+06    .26620170E+06    .26620170E+06    .18000000E+03    .17999750E+03    .37085320E+04    .57138690E+03    .57138690E+03    .10000000E+01    .63925760E+02    .13776420E+02    .98538870E+03    .24601760E+04    .31335970E+01    .41394170E+03    .41394170E+03    .53205410E+03    .82499800E+03    .82499800E+03    .80192580E+03    .45666590E+01    .45666590E+01    .23650600E+01    .13951520E-01   -.11534760E-06    .20410580E-03    .78453050E+00    .00000000E+00    .00000000E+00    .81039070E+00    .81039070E+00    .81039070E+00    .81039070E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42975970E+02    .27183320E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .40111070E+01    .49279660E+03    .53004550E+03    .51543990E+03    .30017200E+08    .20504000E+04    .20499970E+04    .20499970E+04    .56051670E+02    .56051670E+02   -.10583760E-01    .10469020E+02    .00000000E+00    .00000000E+00    .99897530E+00    .61062820E+03    .61062820E+03    .56555820E+03    .56555820E+03    .58809340E+03    .58809330E+03    .58809330E+03    .58809330E+03    .00000000E+00    .26620300E+06    .26620300E+06    .26620040E+06    .26620460E+06    .26620460E+06    .18000000E+03    .18000000E+03    .37085320E+04    .57138700E+03    .57138700E+03    .10000000E+01    .63926280E+02    .13776370E+02    .98538680E+03    .24601680E+04    .31336230E+01    .41393990E+03    .41393990E+03    .53205570E+03    .82499880E+03    .82499880E+03    .80194270E+03    .45666400E+01    .45666400E+01    .23650620E+01    .13951380E-01   -.15636080E-06    .20410580E-03    .78453050E+00    .00000000E+00    .00000000E+00    .81034260E+00    .81034260E+00    .81034260E+00    .81034260E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42976860E+02    .27183450E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .50016750E+01    .49279320E+03    .53004210E+03    .51543810E+03    .30017180E+08    .20504020E+04    .20500000E+04    .20500000E+04    .56051720E+02    .56051720E+02   -.33436030E-02    .10470220E+02    .00000000E+00    .00000000E+00    .99897570E+00    .61062810E+03    .61062810E+03    .56555880E+03    .56555880E+03    .58809360E+03    .58809340E+03    .58809340E+03    .58809340E+03    .00000000E+00    .26620270E+06    .26620270E+06    .26620050E+06    .26620310E+06    .26620310E+06    .18000000E+03    .17999780E+03    .37085350E+04    .57138300E+03    .57138300E+03    .10000000E+01    .63925880E+02    .13776380E+02    .98538450E+03    .24601560E+04    .31336400E+01    .41394170E+03    .41394170E+03    .53205370E+03    .82500040E+03    .82500040E+03    .80192540E+03    .45666420E+01    .45666420E+01    .23650620E+01    .13951610E-01   -.16692050E-06    .20410580E-03    .78453050E+00    .00000000E+00    .00000000E+00    .81033930E+00    .81033930E+00    .81033930E+00    .81033930E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42975950E+02    .27183320E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .60061910E+01    .49278290E+03    .53003160E+03    .51542930E+03    .30017180E+08    .20504020E+04    .20499990E+04    .20499990E+04    .56051690E+02    .56051690E+02   -.15036160E-01    .10469610E+02    .00000000E+00    .00000000E+00    .99897580E+00    .61062840E+03    .61062840E+03    .56555900E+03    .56555900E+03    .58809390E+03    .58809380E+03    .58809380E+03    .58809380E+03    .00000000E+00    .26620330E+06    .26620330E+06    .26620050E+06    .26620910E+06    .26620910E+06    .18000000E+03    .18000130E+03    .37085360E+04    .57137480E+03    .57137480E+03    .10000000E+01    .63925960E+02    .13776390E+02    .98538140E+03    .24601350E+04    .31336940E+01    .41394130E+03    .41394130E+03    .53205760E+03    .82499910E+03    .82499910E+03    .80194940E+03    .45666460E+01    .45666460E+01    .23650630E+01    .13951500E-01   -.26305000E-06    .20410580E-03    .78453050E+00    .00000000E+00    .00000000E+00    .81034310E+00    .81034310E+00    .81034310E+00    .81034310E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42977220E+02    .27183500E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .70107090E+01    .49279060E+03    .53003930E+03    .51543210E+03    .30017170E+08    .20503990E+04    .20499960E+04    .20499960E+04    .56051650E+02    .56051650E+02   -.98883230E-02    .10470610E+02    .00000000E+00    .00000000E+00    .99897550E+00    .61062810E+03    .61062810E+03    .56555880E+03    .56555880E+03    .58809370E+03    .58809350E+03    .58809350E+03    .58809350E+03    .00000000E+00    .26620240E+06    .26620240E+06    .26620050E+06    .26620520E+06    .26620520E+06    .18000000E+03    .17999980E+03    .37085380E+04    .57138450E+03    .57138450E+03    .10000000E+01    .63926110E+02    .13776360E+02    .98537920E+03    .24601170E+04    .31336730E+01    .41394060E+03    .41394060E+03    .53205470E+03    .82500200E+03    .82500200E+03    .80193800E+03    .45666350E+01    .45666350E+01    .23650640E+01    .13951490E-01   -.13014780E-06    .20410580E-03    .78453050E+00    .00000000E+00    .00000000E+00    .81035230E+00    .81035230E+00    .81035230E+00    .81035230E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42976620E+02    .27183410E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .80012740E+01    .49279230E+03    .53004100E+03    .51542590E+03    .30017140E+08    .20503970E+04    .20499950E+04    .20499950E+04    .56051630E+02    .56051630E+02   -.63863370E-02    .10473000E+02    .00000000E+00    .00000000E+00    .99897610E+00    .61062780E+03    .61062780E+03    .56555920E+03    .56555920E+03    .58809370E+03    .58809350E+03    .58809350E+03    .58809350E+03    .00000000E+00    .26620280E+06    .26620280E+06    .26620060E+06    .26620530E+06    .26620530E+06    .18000000E+03    .17999970E+03    .37085460E+04    .57138390E+03    .57138390E+03    .10000000E+01    .63925660E+02    .13776390E+02    .98537790E+03    .24601050E+04    .31337060E+01    .41394160E+03    .41394160E+03    .53205940E+03    .82500380E+03    .82500380E+03    .80193570E+03    .45666440E+01    .45666440E+01    .23650620E+01    .13951540E-01   -.11000610E-06    .20410580E-03    .78453050E+00    .00000000E+00    .00000000E+00    .81042410E+00    .81042410E+00    .81042410E+00    .81042410E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42976500E+02    .27183400E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
