      Time                Qrx             Qth             Qtrans           Flowv              Pp               Px             PxIND            PRZLVL         PRZLVLIND         VelSRG            QHTRP            QHTRB         SCV Position      Spray GPM           THL            THL Ind            TCL            TCL Ind          TaveREF           Tave            Tave Ind          Tmod           Flow SFWS         Flow FD        Flow FD Ind         Demand         Steam Flow     Steam Flow Ind       Wload            Wturb           Omega FP        Texit SG 1      Texit SG IND     SG Exit Void       Dryout 1        SGLVL Ind           Trx            TCL Hot           MDNBR            Tfeed           TfeedIND          Qsteam            PSG             PSG Ind           Pimp          DeltaP SG      DeltaP SG IND     DP elev SG         Deltat             rho             rhoX              FCV              FBV             SFWV             TCV 1            TCV 2            TCV 3            TCV 4            TBV 1            TBV 2            TBV 3            TBV 4            BANK A           BANK B           BANK C           BANK D           RhoCBA           RhoCBB           RhoCBC           RhoCBD          TESLoad       TESFlowDemand       FlowAUX1         FlowAUX2         FlowAUX3           PTAP           Tsat Tap          PTES           TES_TBV(1)       TES_TBV(2)       TES_TBV(3)       TES_TBV(4)
   .00000000E+00    .18739540E+03    .20065380E+03    .19511960E+03    .54542090E+07    .20505630E+04    .20501610E+04    .20501610E+04    .50104050E+02    .50104050E+02   -.35122000E-02    .18267580E+02    .00000000E+00    .00000000E+00    .97341840E+00    .62544850E+03    .62544850E+03    .53010380E+03    .53010380E+03    .57799980E+03    .57777610E+03    .57777610E+03    .57777610E+03    .00000000E+00    .85244520E+05    .85244520E+05    .85243520E+05    .85241390E+05    .85241410E+05    .45000000E+02    .44999180E+02    .31397140E+04    .60632560E+03    .60632560E+03    .10000000E+01    .59807650E+02    .10521050E+02    .87198750E+03    .17985420E+04    .33966930E+01    .29426990E+03    .29426990E+03    .20114440E+03    .82499960E+03    .82499960E+03    .88427660E+02    .34875560E+01    .34875560E+01    .32411510E+01    .30000000E+00    .46802780E-07    .55222050E-05    .72587660E+00    .00000000E+00    .00000000E+00    .54155080E+00    .54155080E+00    .54155080E+00    .54155080E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53373070E+01    .16489560E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30000000E+00    .18739540E+03    .20065380E+03    .19512000E+03    .54542110E+07    .20505640E+04    .20501610E+04    .20501610E+04    .50104050E+02    .50104050E+02   -.40772060E-02    .18225330E+02    .00000000E+00    .00000000E+00    .97341840E+00    .62544860E+03    .62544860E+03    .53010370E+03    .53010370E+03    .57799980E+03    .57777610E+03    .57777610E+03    .57777610E+03    .00000000E+00    .85074210E+05    .85074210E+05    .76557480E+05    .85255790E+05    .85255790E+05    .40500000E+02    .45003830E+02    .31397140E+04    .60623980E+03    .60623980E+03    .10000000E+01    .59807460E+02    .10518240E+02    .87198750E+03    .17985420E+04    .33966860E+01    .29426810E+03    .29426810E+03    .20114340E+03    .82499710E+03    .82499710E+03    .88444540E+02    .34866260E+01    .34866260E+01    .32410830E+01    .40805020E-01    .44153910E-07    .55195560E-05    .72417960E+00    .00000000E+00    .00000000E+00    .54155000E+00    .54155000E+00    .54155000E+00    .54155000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53381990E+01    .16490280E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .10347140E+01    .18739390E+03    .20065230E+03    .19511900E+03    .54541850E+07    .20505690E+04    .20501660E+04    .20501660E+04    .50104180E+02    .50104180E+02    .28444000E-02    .18122940E+02    .00000000E+00    .00000000E+00    .97341840E+00    .62544890E+03    .62544890E+03    .53010370E+03    .53010370E+03    .57798780E+03    .57777620E+03    .57777620E+03    .57777620E+03    .00000000E+00    .84579150E+05    .84579150E+05    .76461790E+05    .85217550E+05    .85217550E+05    .40500000E+02    .44972560E+02    .31394450E+04    .60616750E+03    .60616750E+03    .10000000E+01    .59806020E+02    .10509550E+02    .87198730E+03    .17985420E+04    .33967030E+01    .29421240E+03    .29421240E+03    .20092960E+03    .82499660E+03    .82499660E+03    .88355000E+02    .34837470E+01    .34837470E+01    .32406830E+01    .40828400E-01   -.12154260E-08    .55199940E-05    .71943560E+00    .00000000E+00    .00000000E+00    .54137920E+00    .54137920E+00    .54137920E+00    .54137920E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53334750E+01    .16486460E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .20147100E+01    .18739090E+03    .20064930E+03    .19511680E+03    .54539920E+07    .20505820E+04    .20501800E+04    .20501800E+04    .50104640E+02    .50104640E+02    .12041890E-01    .17983940E+02    .00000000E+00    .00000000E+00    .97341820E+00    .62544930E+03    .62544930E+03    .53010370E+03    .53010370E+03    .57799040E+03    .57777650E+03    .57777650E+03    .57777650E+03    .00000000E+00    .83933270E+05    .83933270E+05    .76367910E+05    .85216860E+05    .85216860E+05    .40500000E+02    .44964550E+02    .31388050E+04    .60604910E+03    .60604910E+03    .10000000E+01    .59804520E+02    .10496050E+02    .87198680E+03    .17985400E+04    .33967150E+01    .29422440E+03    .29422440E+03    .20073710E+03    .82499760E+03    .82499760E+03    .88335490E+02    .34792690E+01    .34792690E+01    .32394030E+01    .40837150E-01   -.89803240E-07    .55199930E-05    .71348010E+00    .00000000E+00    .00000000E+00    .54138480E+00    .54138480E+00    .54138480E+00    .54138480E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53324460E+01    .16485630E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30357450E+01    .18738020E+03    .20063850E+03    .19511310E+03    .54536000E+07    .20506050E+04    .20502020E+04    .20502020E+04    .50105500E+02    .50105500E+02    .15335010E-01    .17830770E+02    .00000000E+00    .00000000E+00    .97341800E+00    .62545100E+03    .62545100E+03    .53010370E+03    .53010370E+03    .57798850E+03    .57777730E+03    .57777730E+03    .57777730E+03    .00000000E+00    .83287580E+05    .83287580E+05    .76270200E+05    .85228700E+05    .85228700E+05    .40500000E+02    .44961160E+02    .31379320E+04    .60586580E+03    .60586580E+03    .10000000E+01    .59799830E+02    .10479850E+02    .87198460E+03    .17985310E+04    .33966960E+01    .29421600E+03    .29421600E+03    .20052700E+03    .82500040E+03    .82500040E+03    .88331740E+02    .34738970E+01    .34738970E+01    .32371740E+01    .40844570E-01   -.40039010E-06    .55199900E-05    .70770750E+00    .00000000E+00    .00000000E+00    .54137250E+00    .54137250E+00    .54137250E+00    .54137250E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53322480E+01    .16485470E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .40161000E+01    .18735840E+03    .20061660E+03    .19510400E+03    .54530600E+07    .20506320E+04    .20502300E+04    .20502300E+04    .50106790E+02    .50106790E+02    .24185860E-01    .17670000E+02    .00000000E+00    .00000000E+00    .97341780E+00    .62545420E+03    .62545420E+03    .53010390E+03    .53010390E+03    .57798680E+03    .57777910E+03    .57777910E+03    .57777910E+03    .00000000E+00    .82702110E+05    .82702110E+05    .76176450E+05    .85236020E+05    .85236020E+05    .40500000E+02    .44956110E+02    .31370080E+04    .60570520E+03    .60570520E+03    .10000000E+01    .59791080E+02    .10462490E+02    .87197760E+03    .17985030E+04    .33967410E+01    .29420800E+03    .29420800E+03    .20031900E+03    .82499800E+03    .82499800E+03    .88322710E+02    .34681450E+01    .34681450E+01    .32342100E+01    .40852290E-01   -.97018850E-06    .55199820E-05    .70255760E+00    .00000000E+00    .00000000E+00    .54135410E+00    .54135410E+00    .54135410E+00    .54135410E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53317710E+01    .16485080E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .50375310E+01    .18732790E+03    .20058580E+03    .19509060E+03    .54523440E+07    .20506760E+04    .20502740E+04    .20502740E+04    .50108890E+02    .50108890E+02    .32623500E-01    .17481520E+02    .00000000E+00    .00000000E+00    .97341780E+00    .62545840E+03    .62545840E+03    .53010440E+03    .53010440E+03    .57798490E+03    .57778140E+03    .57778140E+03    .57778140E+03    .00000000E+00    .82127820E+05    .82127820E+05    .76078920E+05    .85240630E+05    .85240630E+05    .40500000E+02    .44949880E+02    .31360260E+04    .60555660E+03    .60555660E+03    .10000000E+01    .59779590E+02    .10442730E+02    .87196410E+03    .17984480E+04    .33968430E+01    .29419900E+03    .29419900E+03    .20009360E+03    .82499930E+03    .82499930E+03    .88309500E+02    .34615940E+01    .34615940E+01    .32303210E+01    .40860660E-01   -.17028020E-05    .55199720E-05    .69757310E+00    .00000000E+00    .00000000E+00    .54133060E+00    .54133060E+00    .54133060E+00    .54133060E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53310750E+01    .16484520E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .60182900E+01    .18729370E+03    .20055120E+03    .19507230E+03    .54515150E+07    .20507960E+04    .20503960E+04    .20503960E+04    .50113280E+02    .50113280E+02    .35333220E-01    .17244500E+02    .00000000E+00    .00000000E+00    .97341710E+00    .62546310E+03    .62546310E+03    .53010510E+03    .53010510E+03    .57798340E+03    .57778410E+03    .57778410E+03    .57778410E+03    .00000000E+00    .81612160E+05    .81612160E+05    .75985400E+05    .85240960E+05    .85240960E+05    .40500000E+02    .44941920E+02    .31350990E+04    .60542720E+03    .60542720E+03    .10000000E+01    .59763950E+02    .10422320E+02    .87194430E+03    .17983630E+04    .33970500E+01    .29419200E+03    .29419200E+03    .19987290E+03    .82499800E+03    .82499800E+03    .88290700E+02    .34548290E+01    .34548290E+01    .32258630E+01    .40869590E-01   -.24313600E-05    .55199590E-05    .69312660E+00    .00000000E+00    .00000000E+00    .54130600E+00    .54130600E+00    .54130600E+00    .54130600E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53300830E+01    .16483720E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .70402070E+01    .18724670E+03    .20050370E+03    .19504710E+03    .54505050E+07    .20509760E+04    .20505710E+04    .20505710E+04    .50119090E+02    .50119090E+02    .33447880E-01    .16875470E+02    .00000000E+00    .00000000E+00    .97341660E+00    .62546850E+03    .62546850E+03    .53010690E+03    .53010690E+03    .57797740E+03    .57778770E+03    .57778770E+03    .57778770E+03    .00000000E+00    .81111200E+05    .81111200E+05    .75888200E+05    .85217920E+05    .85217920E+05    .40500000E+02    .44919250E+02    .31341670E+04    .60532170E+03    .60532170E+03    .10000000E+01    .59732930E+02    .10399800E+02    .87191560E+03    .17982380E+04    .33973750E+01    .29416420E+03    .29416420E+03    .19959730E+03    .82499180E+03    .82499180E+03    .88228150E+02    .34473680E+01    .34473680E+01    .32205300E+01    .40887750E-01   -.34319590E-05    .55199430E-05    .68881860E+00    .00000000E+00    .00000000E+00    .54120310E+00    .54120310E+00    .54120310E+00    .54120310E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53267830E+01    .16481050E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .80218950E+01    .18719780E+03    .20045420E+03    .19501740E+03    .54493340E+07    .20511900E+04    .20507860E+04    .20507860E+04    .50125790E+02    .50125790E+02    .46035400E-01    .16374890E+02    .00000000E+00    .00000000E+00    .97341610E+00    .62547370E+03    .62547370E+03    .53010930E+03    .53010930E+03    .57796210E+03    .57779150E+03    .57779150E+03    .57779150E+03    .00000000E+00    .80662450E+05    .80662450E+05    .75795570E+05    .85151460E+05    .85151460E+05    .40500000E+02    .44867780E+02    .31333080E+04    .60523870E+03    .60523870E+03    .10000000E+01    .59681050E+02    .10377260E+02    .87188000E+03    .17980810E+04    .33977780E+01    .29409260E+03    .29409260E+03    .19924490E+03    .82498220E+03    .82498220E+03    .88080320E+02    .34399010E+01    .34399010E+01    .32148420E+01    .40924980E-01   -.43615380E-05    .55199260E-05    .68496730E+00    .00000000E+00    .00000000E+00    .54094060E+00    .54094060E+00    .54094060E+00    .54094060E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53189850E+01    .16474730E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
